"bsv"	"corpus"	"context before"	"extracted conjunction"	"context after"	"html tags"	"pos tags"	"lemma tags"	"location"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4.html"	"d2kab"	"au citron, goyave,"	"banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	". Les légumes concer"	"HTML, BODY, P"	"NOM, PUN, NOM, PRP:det, NAM, PUN, NOM, PUN, NOM, PRP, NOM, PUN, NOM, PRP, DET:ART, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, KON, NOM"	"banane, ,, nèfle, du, Japon, ,, tomate, ,, cerise, de, cayenne, ,, fruit, de, le, passion, ,, kaki, ,, ananas, ,, pêche, ,, poire, ,, abricot, ,, figue, et, café"	"21932-22054"	"type=GN, form=banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4.html"	"d2kab"	"umes concernés sont"	"notamment les tomates, poivrons, melons et courges"	". Comme les autres m"	"HTML, BODY, P"	"ADV, DET:ART, NOM, PUN, NOM, PUN, NOM, KON, NOM"	"notamment, le, tomate, ,, poivron, ,, melon, et, courge"	"22083-22133"	"type=GN, form=notamment les tomates, poivrons, melons et courges"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4.html"	"d2kab"	"nombreux végétaux,"	"oliviers, Prunus"	"(pêchers, amandiers"	"HTML, BODY, P"	"NOM, PUN, NOM"	"olivier, ,, prunus"	"22592-22608"	"type=GN, form=oliviers, Prunus"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4.html"	"d2kab"	"x, oliviers, Prunus"	"(pêchers, amandiers)"	", laurier rose, vign"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN"	"(, pêcher, ,, amandier, )"	"22609-22629"	"type=GN, form=(pêchers, amandiers)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4.html"	"d2kab"	"êchers, amandiers),"	"laurier rose, vigne, agrumes, caféiers, chênes"	", Les dépérissements"	"HTML, BODY, P"	"NOM, ADJ, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	"laurier, rose, ,, vigne, ,, agrume, ,, caféier, ,, chêne"	"22631-22677"	"type=GN, form=laurier rose, vigne, agrumes, caféiers, chênes"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_4_7aout_2019_cle83ed26.html"	"d2kab"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"mais l'espèce s'en"	"HTML, BODY, P"	"NOM, PUN, DET:ART, NOM, KON, DET:ART, NOM"	"l'avocat, ,, le, mangue, et, le, papaye"	"17924-17956"	"type=GN, form=l'avocat, la mangue et la papaye"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_4_7aout_2019_cle83ed26.html"	"d2kab"	"au citron, goyave,"	"banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	". Les légumes concer"	"HTML, BODY, P"	"NOM, PUN, NOM, PRP:det, NAM, PUN, NOM, PUN, NOM, PRP, NOM, PUN, NOM, PRP, DET:ART, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, KON, NOM"	"banane, ,, nèfle, du, Japon, ,, tomate, ,, cerise, de, cayenne, ,, fruit, de, le, passion, ,, kaki, ,, ananas, ,, pêche, ,, poire, ,, abricot, ,, figue, et, café"	"18007-18129"	"type=GN, form=banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_4_7aout_2019_cle83ed26.html"	"d2kab"	"umes concernés sont"	"notamment les tomates, poivrons, melons et courges"	". Comme les autres m"	"HTML, BODY, P"	"ADV, DET:ART, NOM, PUN, NOM, PUN, NOM, KON, NOM"	"notamment, le, tomate, ,, poivron, ,, melon, et, courge"	"18158-18208"	"type=GN, form=notamment les tomates, poivrons, melons et courges"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_4_7aout_2019_cle83ed26.html"	"d2kab"	"nombreux végétaux,"	"oliviers, Prunus"	"(pêchers, amandiers"	"HTML, BODY, P"	"NOM, PUN, NOM"	"olivier, ,, prunus"	"18765-18781"	"type=GN, form=oliviers, Prunus"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_4_7aout_2019_cle83ed26.html"	"d2kab"	"x, oliviers, Prunus"	"(pêchers, amandiers)"	", laurier rose, vign"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN"	"(, pêcher, ,, amandier, )"	"18782-18802"	"type=GN, form=(pêchers, amandiers)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_4_7aout_2019_cle83ed26.html"	"d2kab"	"êchers, amandiers),"	"laurier rose, vigne, agrumes, caféiers, chênes"	", Les dépérissements"	"HTML, BODY, P"	"NOM, ADJ, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	"laurier, rose, ,, vigne, ,, agrume, ,, caféier, ,, chêne"	"18804-18850"	"type=GN, form=laurier rose, vigne, agrumes, caféiers, chênes"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e.html"	"d2kab"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"mais l'espèce s'en"	"HTML, BODY, P"	"NOM, PUN, DET:ART, NOM, KON, DET:ART, NOM"	"l'avocat, ,, le, mangue, et, le, papaye"	"13638-13670"	"type=GN, form=l'avocat, la mangue et la papaye"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e.html"	"d2kab"	"au citron, goyave,"	"banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	". Les légumes concer"	"HTML, BODY, P"	"NOM, PUN, NOM, PRP:det, NAM, PUN, NOM, PUN, NOM, PRP, NOM, PUN, NOM, PRP, DET:ART, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, KON, NOM"	"banane, ,, nèfle, du, Japon, ,, tomate, ,, cerise, de, cayenne, ,, fruit, de, le, passion, ,, kaki, ,, ananas, ,, pêche, ,, poire, ,, abricot, ,, figue, et, café"	"13721-13843"	"type=GN, form=banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e.html"	"d2kab"	"umes concernés sont"	"notamment les tomates, poivrons, melons et courges"	". Comme les autres m"	"HTML, BODY, P"	"ADV, DET:ART, NOM, PUN, NOM, PUN, NOM, KON, NOM"	"notamment, le, tomate, ,, poivron, ,, melon, et, courge"	"13872-13922"	"type=GN, form=notamment les tomates, poivrons, melons et courges"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"ultures d'alliacées"	"(poireaux, ciboulette, ail )"	"pour détecter d'éve"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN"	"(, poireau, ,, ciboulette, ,, ail, )"	"6955-6983"	"type=GN, form=(poireaux, ciboulette, ail )"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"t les plantes hôtes"	"(poireaux, oignons, pommes de terre"	", choux, betterave,"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PRP, NOM"	"(, poireau, ,, oignon, ,, pomme, de, terre"	"11979-12014"	"type=GN, form=(poireaux, oignons, pommes de terre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"es de terre, choux,"	"betterave, luzerne )"	".- Travail du sol :"	"HTML, BODY, P"	"NOM, PUN, NOM, PUN"	"betterave, ,, luzerne, )"	"12023-12043"	"type=GN, form=betterave, luzerne )"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"génération: risque"	"pour les oignons bulbilles et échalotes"	"de plantation, oign"	"HTML, BODY, P"	"PRP, DET:ART, NOM, NOM, KON, NOM"	"pour, le, oignon, bulbille, et, échalote"	"13725-13764"	"type=GN, form=pour les oignons bulbilles et échalotes"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"es de plantes hôtes"	": colza , betteraves, pommes de terre, endives, haricots, pois"	", carottes, choux, s"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PRP, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	":, colza, ,, betterave, ,, pomme, de, terre, ,, endive, ,, haricot, ,, pois"	"25357-25419"	"type=GN, form=: colza , betteraves, pommes de terre, endives, haricots, pois"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"s, carottes, choux,"	"salades, navets, scorsonères, céleri, phacélie, moutarde"	". Seules les graminé"	"HTML, BODY, P"	"NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	"salade, ,, navet, ,, scorsonère, ,, céleri, ,, phacélie, ,, moutarde"	"25438-25494"	"type=GN, form=salades, navets, scorsonères, céleri, phacélie, moutarde"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"e 40 plantes hôtes)"	": haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"	"Les femelles appréc"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PRP, NOM"	":, haricot, ,, concombre, ,, épinard, ,, tomate, ,, radis, ,, navet, ,, oignon, ,, poireau, ,, pomme, de, terre"	"32132-32216"	"type=GN, form=: haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_102019_cle8be56a.html"	"d2kab"	"iel, les stratégies"	"sur pois, haricot, flageolet"	"et carotte, n'hésit"	"HTML, BODY, P"	"PRP, NOM, PUN, NOM, PUN, NOM"	"sur, pois, ,, haricot, ,, flageolet"	"35428-35456"	"type=GN, form=sur pois, haricot, flageolet"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_132019_cle871f9a.html"	"d2kab"	"s sur les parcelles"	"de haricots et flageolets"	". Les dégâts sont pl"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"de, haricot, et, flageolet"	"2642-2667"	"type=GN, form=de haricots et flageolets"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_132019_cle871f9a.html"	"d2kab"	"génération: risque"	"pour les oignons bulbilles et échalotes"	"de plantation, oign"	"HTML, BODY, P"	"PRP, DET:ART, NOM, NOM, KON, NOM"	"pour, le, oignon, bulbille, et, échalote"	"9091-9130"	"type=GN, form=pour les oignons bulbilles et échalotes"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_132019_cle871f9a.html"	"d2kab"	"ervé sur le terrain"	"sur oignons bulbilles et oignons"	"de semis. Le modèle"	"HTML, BODY, P"	"PRP, NOM, NOM, KON, NOM"	"sur, oignon, bulbille, et, oignon"	"9758-9790"	"type=GN, form=sur oignons bulbilles et oignons"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_Legumes_132019_cle871f9a.html"	"d2kab"	"e 40 plantes hôtes)"	": haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"	"Les femelles appréc"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PRP, NOM"	":, haricot, ,, concombre, ,, épinard, ,, tomate, ,, radis, ,, navet, ,, oignon, ,, poireau, ,, pomme, de, terre"	"21298-21382"	"type=GN, form=: haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	"trition sont notées"	"sur ciboulettes, aillets"	". Autres légumes Au"	"HTML, BODY, P"	"PRP, NOM, PUN, NOM"	"sur, ciboulette, ,, aillets"	"2338-2362"	"type=GN, form=sur ciboulettes, aillets"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	"ts . Autres légumes"	"Aubergines, concombres, courgettes"	"(informations tour"	"HTML, BODY, P"	"NOM, PUN, NOM, PUN, NOM"	"aubergine, ,, concombre, ,, courgette"	"2380-2414"	"type=GN, form=Aubergines, concombres, courgettes"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	"ires sont signalées"	"sur poivrons, aubergines et concombres)"	". On peut remarquer"	"HTML, BODY, P"	"PRP, NOM, PUN, NOM, KON, NOM, PUN"	"sur, poivron, ,, aubergine, et, concombre, )"	"8255-8294"	"type=GN, form=sur poivrons, aubergines et concombres)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	"iculièrement notées"	"sur ciboulette, aillets"	"et plus généralemen"	"HTML, BODY, P"	"PRP, NOM, PUN, NOM"	"sur, ciboulette, ,, aillets"	"10736-10759"	"type=GN, form=sur ciboulette, aillets"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	"nt Nezara viridula)"	"sur aubergine et concombre"	". Le descriptif des"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"sur, aubergine, et, concombre"	"11996-12022"	"type=GN, form=sur aubergine et concombre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	"fruitières (pêcher,"	"poirier, mangue, banane"	",...), agrumes (citr"	"HTML, BODY, P"	"NOM, PUN, NOM, PUN, NOM"	"poirier, ,, mangue, ,, banane"	"16249-16272"	"type=GN, form=poirier, mangue, banane"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d.html"	"d2kab"	",...) et légumières"	"(tomate, poivron, aubergine, melon, courge"	",...). Bactrocera do"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	"(, tomate, ,, poivron, ,, aubergine, ,, melon, ,, courge"	"16322-16364"	"type=GN, form=(tomate, poivron, aubergine, melon, courge"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	"très forte pression"	"sur concombre et aubergine"	". Punaises : forte p"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"sur, concombre, et, aubergine"	"2155-2181"	"type=GN, form=sur concombre et aubergine"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	"de Nezara viridula"	"sur concombre et aubergine"	". Altises : présence"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"sur, concombre, et, aubergine"	"2228-2254"	"type=GN, form=sur concombre et aubergine"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	"e soleil sur fruits"	"(poivron, tomate)"	"; des nécroses apic"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN"	"(, poivron, ,, tomate, )"	"20095-20112"	"type=GN, form=(poivron, tomate)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	"s (ou "" cul noir "")"	"sur poivron et tomate"	"; des phénomènes de"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"sur, poivron, et, tomate"	"20155-20176"	"type=GN, form=sur poivron et tomate"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	"(plusieurs espèces)"	"Sur aubergine et concombre"	", sur l'ensemble des"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"sur, aubergine, et, concombre"	"22712-22738"	"type=GN, form=Sur aubergine et concombre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	"fruitières (pêcher,"	"poirier, mangue, banane"	",...), agrumes (citr"	"HTML, BODY, P"	"NOM, PUN, NOM, PUN, NOM"	"poirier, ,, mangue, ,, banane"	"26980-27003"	"type=GN, form=poirier, mangue, banane"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172.html"	"d2kab"	",...) et légumières"	"(tomate, poivron, aubergine, melon, courge"	",...). Bactrocera do"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	"(, tomate, ,, poivron, ,, aubergine, ,, melon, ,, courge"	"27053-27095"	"type=GN, form=(tomate, poivron, aubergine, melon, courge"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc.html"	"d2kab"	"fruitières (pêcher,"	"poirier, mangue, banane"	",...), agrumes (citr"	"HTML, BODY, P"	"NOM, PUN, NOM, PUN, NOM"	"poirier, ,, mangue, ,, banane"	"18170-18193"	"type=GN, form=poirier, mangue, banane"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_MARAICHAGE_Nord_NA_20__20190919_cle0d91fc.html"	"d2kab"	",...) et légumières"	"(tomate, poivron, aubergine, melon, courge"	",...). Bactrocera do"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM, PUN, NOM"	"(, tomate, ,, poivron, ,, aubergine, ,, melon, ,, courge"	"18243-18285"	"type=GN, form=(tomate, poivron, aubergine, melon, courge"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_NA_MARAICHAGE_Sud_NA_02_20190325_cle46958b.html"	"d2kab"	"d'autres solanacées"	"comme l'aubergine, la pomme de terre, le poivron"	"et aussi aux advent"	"HTML, BODY, P"	"KON, NOM, PUN, DET:ART, NOM, PRP, NOM, PUN, DET:ART, NOM"	"comme, l'aubergine, ,, le, pomme, de, terre, ,, le, poivron"	"4673-4721"	"type=GN, form=comme l'aubergine, la pomme de terre, le poivron"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738.html"	"d2kab"	"ns : forte pression"	"en aubergine et concombre"	". Pucerons : en prog"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"en, aubergine, et, concombre"	"1133-1158"	"type=GN, form=en aubergine et concombre"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738.html"	"d2kab"	"ns : en progression"	"en aubergine et poivron"	". Aleurodes : en pro"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"en, aubergine, et, poivron"	"1186-1209"	"type=GN, form=en aubergine et poivron"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738.html"	"d2kab"	"is : en progression"	"en tomate et aubergine"	". Virus : observés e"	"HTML, BODY, P"	"PRP, NOM, KON, NOM"	"en, tomate, et, aubergine"	"1380-1402"	"type=GN, form=en tomate et aubergine"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_NA_MARAICHAGE_Sud_NA_08_21092019_cle45e738.html"	"d2kab"	"e intensité faible."	"Courgette et courge"	": dans les Landes,"	"HTML, BODY, P"	"NOM, KON, NOM"	"courgette, et, courge"	"14602-14621"	"type=GN, form=Courgette et courge"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_02_du_20-03-19_cle455343.html"	"d2kab"	"nes plants d'allium"	"(oignon, poireau, oignon bulbille, échalote)"	". L'activité de la m"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, NOM, PUN, NOM, PUN"	"(, oignon, ,, poireau, ,, oignon, bulbille, ,, échalote, )"	"3412-3456"	"type=GN, form=(oignon, poireau, oignon bulbille, échalote)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_02_du_20-03-19_cle455343.html"	"d2kab"	"n'est pas démarré.-"	"Pour les oignons et échalotes bulbilles"	", le risque n'est pa"	"HTML, BODY, P"	"PRP, DET:ART, NOM, KON, NOM, NOM"	"pour, le, oignon, et, échalote, bulbille"	"14428-14467"	"type=GN, form=Pour les oignons et échalotes bulbilles"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_16_du_24-07-19_cle4f7928.html"	"d2kab"	"Coulure des fruits"	"(concombre, tomate et poivron)"	"Blossom and rot (po"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, KON, NOM, PUN"	"(, concombre, ,, tomate, et, poivron, )"	"14950-14980"	"type=GN, form=(concombre, tomate et poivron)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_16_du_24-07-19_cle4f7928.html"	"d2kab"	"on) Blossom and rot"	"(poivron, tomate)"	"Brûlure solaire (to"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN"	"(, poivron, ,, tomate, )"	"14997-15014"	"type=GN, form=(poivron, tomate)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_16_du_24-07-19_cle4f7928.html"	"d2kab"	":Pour les bulbilles"	"(oignon et échalote)"	"et les oignons de s"	"HTML, BODY, P"	"PUN, NOM, KON, NOM, PUN"	"(, oignon, et, échalote, )"	"18228-18248"	"type=GN, form=(oignon et échalote)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_22_du_11-09-19__cle028fcc.html"	"d2kab"	"rcelles des réseaux"	"oignon et poireau"	"Etat général Pour l"	"HTML, BODY, P"	"NOM, KON, NOM"	"oignon, et, poireau"	"2706-2723"	"type=GN, form=oignon et poireau"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_22_du_11-09-19__cle028fcc.html"	"d2kab"	"nes plants d'allium"	"(oignon, poireau, oignon bulbille, échalote"	", ). L'activité de l"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN, NOM, NOM, PUN, NOM"	"(, oignon, ,, poireau, ,, oignon, bulbille, ,, échalote"	"3952-3995"	"type=GN, form=(oignon, poireau, oignon bulbille, échalote"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_22_du_11-09-19__cle028fcc.html"	"d2kab"	"est très polyphage"	"(céréales, colza"	", nombreux légumes )"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM"	"(, céréale, ,, colza"	"4179-4195"	"type=GN, form=(céréales, colza"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabMaraichage.html/BSV_legumes_27_du_06-11-19__cle059f89.html"	"d2kab"	"rcelles des réseaux"	"oignon et poireau"	"Etat général Le nom"	"HTML, BODY, P"	"NOM, KON, NOM"	"oignon, et, poireau"	"2064-2081"	"type=GN, form=oignon et poireau"
