"bsv"	"corpus"	"context before"	"extracted conjunction"	"context after"	"html tags"	"pos tags"	"lemma tags"	"location"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_GC_NA_Limousin_13_20190521_cle0cb17e.html"	"d2kab"	"vis de la fusariose"	"pour le blé tendre d'hiver et le triticale"	": Bulletin de Santé"	"HTML, BODY, P"	"PRP, DET:ART, NOM, ADJ, NOM, KON, DET:ART, NOM"	"pour, le, blé, tendre, d'hiver, et, le, triticale"	"13659-13701"	"type=GN, form=pour le blé tendre d'hiver et le triticale"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_GC_NA_Limousin_31_20191126_cle074695.html"	"d2kab"	"es. Rotation à base"	"de colza, céréales"	"et fourrages : offr"	"HTML, BODY, P"	"PRP, NOM, PUN, NOM"	"de, colza, ,, céréale"	"13515-13533"	"type=GN, form=de colza, céréales"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_GC_n_27_du_21_05_19_cle8d148f.html"	"d2kab"	"s cultures à risque"	"comme tournesol et soja)"	", déchaumage et faux"	"HTML, BODY, P"	"KON, NOM, KON, NOM, PUN"	"comme, tournesol, et, soja, )"	"20587-20611"	"type=GN, form=comme tournesol et soja)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_GC_n_33_du_2_07_19_cle0b813e.html"	"d2kab"	"s cultures à risque"	"comme tournesol et soja)"	", déchaumage et faux"	"HTML, BODY, P"	"KON, NOM, KON, NOM, PUN"	"comme, tournesol, et, soja, )"	"3233-3257"	"type=GN, form=comme tournesol et soja)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_NA_GC_AQUITAINE_N35_20191024_cle0eeb7e.html"	"d2kab"	"tes sur les touffes"	"de dactyle, fétuque"	"ou/et paspale. Sur"	"HTML, BODY, P"	"PRP, NOM, PUN, NOM"	"de, dactyle, ,, fétuque"	"2583-2602"	"type=GN, form=de dactyle, fétuque"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_NA_GC_Poitou-Charentes_10_20190416_cle8376ad.html"	"d2kab"	"culture Les stades"	"des blés tendres et blés durs"	"s'étalent du stade"	"HTML, BODY, P"	"PRP:det, NOM, ADJ, KON, NOM, ADJ"	"du, blé, tendre, et, blé, dur"	"12677-12706"	"type=GN, form=des blés tendres et blés durs"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_cereales_paille_02_du_29-10-19_cle8cbcac.html"	"d2kab"	"lle : les rotations"	"avec du colza, céréales"	"et fourrages leurs"	"HTML, BODY, P"	"PRP, PRP:det, NOM, PUN, NOM"	"avec, du, colza, ,, céréale"	"16569-16592"	"type=GN, form=avec du colza, céréales"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_cereales_paille_02_du_29-10-19_cle8cbcac.html"	"d2kab"	"es moins appétentes"	"(moutarde, phacélie)"	". Symptômes Au-delà"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN"	"(, moutarde, ,, phacélie, )"	"17387-17407"	"type=GN, form=(moutarde, phacélie)"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_cereales_paille_06_du_26-11-19_cle81855b.html"	"d2kab"	"lle : les rotations"	"avec du colza, céréales"	"et fourrages leurs"	"HTML, BODY, P"	"PRP, PRP:det, NOM, PUN, NOM"	"avec, du, colza, ,, céréale"	"16655-16678"	"type=GN, form=avec du colza, céréales"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/BSV_cereales_paille_06_du_26-11-19_cle81855b.html"	"d2kab"	"es moins appétentes"	"(moutarde, phacélie)"	". Symptômes Au-delà"	"HTML, BODY, P"	"PUN, NOM, PUN, NOM, PUN"	"(, moutarde, ,, phacélie, )"	"17473-17493"	"type=GN, form=(moutarde, phacélie)"
