"bsv"	"corpus"	"entity"	"lemma"	"prefLabel"	"context before"	"context after"	"location"	"number of words"	"features"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"compris entre F2 ="	"61 (allongement de"	"10702-10706"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"compris entre F2 ="	"61 (allongement de"	"10702-10706"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 73"	"BBCH @card@"	""	"s ouvertes) et G4 ="	"(Floraison terminée"	"10780-10787"	"5504"	"type=BBCH-DD, canonical-form=BBCH 73, form=BBCH 73"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"s ouvertes) et G4 ="	"73 (Floraison termi"	"10780-10784"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"s ouvertes) et G4 ="	"73 (Floraison termi"	"10780-10784"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 10"	"BBCH @card@"	""	"lédons étalés (A2 ="	") et deuxième paire"	"20832-20839"	"5504"	"type=BBCH-DD, canonical-form=BBCH 10, form=BBCH 10"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"lédons étalés (A2 ="	"10) et deuxième pai"	"20832-20836"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"lédons étalés (A2 ="	"10) et deuxième pai"	"20832-20836"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 14"	"BBCH @card@"	""	"es étalées (B3 B4 ="	"). Les parcelles les"	"20888-20895"	"5504"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"es étalées (B3 B4 ="	"14). Les parcelles"	"20888-20892"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"es étalées (B3 B4 ="	"14). Les parcelles"	"20888-20892"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 01"	"BBCH @card@"	""	"e de la levée (A0 ="	") à 4 feuilles (B3/4"	"21340-21347"	"5504"	"type=BBCH-DD, canonical-form=BBCH 01, form=BBCH 01"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"e de la levée (A0 ="	"01) à 4 feuilles (B"	"21340-21344"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"e de la levée (A0 ="	"01) à 4 feuilles (B"	"21340-21344"	"5504"	"type=?BBCH?, form=BBCH"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH 14"	"BBCH @card@"	""	"4 feuilles (B3/4 ="	"). a. Limaces Des dé"	"21370-21377"	"5504"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/work/inrae/scripts/alvisBSV/resources/corpus/d2kab/CorpusTestD2kabGC.html/20190507_LOR_BSV_Grandes_Cultures_cle893371.html"	"d2kab"	"BBCH"	"BBCH"	""	"4 feuilles (B3/4 ="	"14). a. Limaces Des"	"21370-21374"	"5504"	"type=BBCH, canonical-form=BBCH , form=BBCH"
