"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"html"	"1216"	"P."	"aison sur feuilles,"	"fruits"	"fruit"	"culture fruitière"	"et sarments raremen"	"2901-2907"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=fruits"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"html"	"1216"	"P."	"e pour le moment en"	"raisin de table"	"raisin de table"	"vigne de table"	", la conservation du"	"3537-3552"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"html"	"1216"	"FOOTER."	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 2 DU 29 MARS 201"	"4512-4527"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"html"	"1216"	"P."	"st en cours (cf BSV"	"raisin"	"raisin"	"vigne"	"n°1). La cochenille"	"5758-5764"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=raisin"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"html"	"1216"	"FIGURE. FIGCAPTION."	"l'animateur filière"	"raisin de table"	"raisin de table"	"vigne de table"	"du Syndicat du Chas"	"6103-6118"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/02_bsv_raisin_29032012_V3.html"	"html"	"1216"	"FOOTER."	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 2 DU 29 MARS 201"	"6825-6840"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"H1."	"MIDI-PYRENEES"	"Raisin de table"	"raisin de table"	"vigne de table"	"- n°4 19 BULLETIN D"	"16-31"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=Raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"FIGURE. FIGCAPTION."	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 4 DU 12 AVRIL 20"	"1684-1699"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"FIGURE. FIGCAPTION."	"es, des variétés de"	"raisin"	"raisin"	"vigne"	"ont atteint le stad"	"3828-3834"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=raisin"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"FIGURE. FIGCAPTION."	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 4 DU 12 AVRIL 20"	"3928-3943"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"FIGURE. FIGCAPTION."	"ité des variétés de"	"raisin de table"	"raisin de table"	"vigne de table"	".Évaluation du risqu"	"4819-4834"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"FIGURE. FIGCAPTION."	"l'animateur filière"	"raisin de table"	"raisin de table"	"vigne de table"	"du Syndicat du Chas"	"5698-5713"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=raisin de table"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"FIGURE. FIGCAPTION."	"DE SANTÉ DU VÉGÉTAL"	"RAISIN DE TABLE"	"raisin de table"	"vigne de table"	"N° 4 DU 12 AVRIL 20"	"6420-6435"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Vignes_table, skos-prefLabel=vigne de table, form=RAISIN DE TABLE"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P. SMALL."	"Al-SDQPV et ANAMSO ("	"colza"	"colza"	"colza"	", p.2) En butinant d"	"6979-6984"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"p.2) En butinant de"	"fleur"	"fleur"	"floriculture"	"en fleur, les insec"	"7006-7011"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleur"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"utinant de fleur en"	"fleur"	"fleur"	"floriculture"	", les insectes polli"	"7015-7020"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleur"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"80 % des plantes à"	"fleurs"	"fleur"	"floriculture"	"se reproduisent grâ"	"7190-7196"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"e ; se pose sur une"	"fleur"	"fleur"	"floriculture"	"ou sur la végétatio"	"8508-8513"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleur"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"celles qui sont en"	"fleurs"	"fleur"	"floriculture"	"; - par ingestion :"	"8689-8695"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"u du pollen sur des"	"fleurs"	"fleur"	"floriculture"	"contaminées suite à"	"8771-8777"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_florales, skos-prefLabel=floriculture, form=fleurs"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"te à un enrobage de"	"semence"	"semence"	"semence"	"avec un produit sys"	"8913-8920"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semence"
"/Users/belka/Documents/GitHub/termExtraction/resources/CorpusVespa.html/04_bsv_raisin_12042012_V3.html"	"html"	"2817"	"P."	"les cultures ou les"	"zones non agricoles"	"zone non agricole"	"zone non agricole"	". La règle de base c"	"9582-9601"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, skos-prefLabel=zone non agricole, form=zones non agricoles"
