"bsv"	"context before"	"conjunction"	"match"	"context after"	"location"	"features"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"une gousse 2cm. Sur"	"féverole, l'anthracnose"	"féverole"	"a continué à s'inte"	"1309-1332"	"type=N_PUN_N, form=féverole, l'anthracnose"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"nviron 15-20cm. Sur"	"pois, la"	"pois"	"situation est resté"	"1663-1671"	"type=N_PUN_N, form=pois, la"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"et aux maladies. Le"	"pois et la"	"pois"	"féverole entrent da"	"2556-2566"	"type=N_KON_N, form=pois et la"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"entation azotée des"	"pois et féveroles"	"pois, féveroles"	". Les pertes de rend"	"8130-8147"	"type=N_KON_N, form=pois et féveroles"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"plante. Sitones sur"	"pois et féveroles"	"pois, féveroles"	"Le seuil de nuisibi"	"9456-9473"	"type=N_KON_N, form=pois et féveroles"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"ité est atteint sur"	"pois et féveroles"	"pois, féveroles"	"entre les stades le"	"9514-9531"	"type=N_KON_N, form=pois et féveroles"
"BSV_10_proteagineux_Normandie_2012_cle8bc461"	"t. Anthracn ose sur"	"pois et féverole"	"pois, féverole"	"La nuisibilité de l"	"11849-11865"	"type=N_KON_N, form=pois et féverole"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"(puceron noir de la"	"fève, puceron"	"fève"	"vert du pois, torde"	"698-711"	"type=N_PUN_N, form=fève, puceron"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"ve, puceron vert du"	"pois, tordeuse"	"pois"	"du pois). Des préci"	"720-734"	"type=N_PUN_N, form=pois, tordeuse"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"entation azotée des"	"pois et féveroles"	"pois, féveroles"	". Les pertes de rend"	"6280-6297"	"type=N_KON_N, form=pois et féveroles"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"plante. Sitones sur"	"pois et féveroles"	"pois, féveroles"	"Le seuil de nuisibi"	"7099-7116"	"type=N_KON_N, form=pois et féveroles"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"ité est atteint sur"	"pois et féveroles"	"pois, féveroles"	"entre les stades le"	"7157-7174"	"type=N_KON_N, form=pois et féveroles"
"BSV_11_proteagineux_Normandie_2012_cle888cde-1"	"eux Anthracnose sur"	"pois et féverole"	"pois, féverole"	"La nuisibilité de l"	"8655-8671"	"type=N_KON_N, form=pois et féverole"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"eux Anthracnose sur"	"pois et féverole"	"pois, féverole"	"La nuisibilité de l"	"5457-5473"	"type=N_KON_N, form=pois et féverole"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"s hôtes incluant la"	"féverole, la"	"féverole"	"pomme de terre, la"	"8146-8158"	"type=N_PUN_N, form=féverole, la"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"pomme de terre, la"	"betterave, la"	"betterave"	"luzerne et la race"	"8178-8191"	"type=N_PUN_N, form=betterave, la"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"e, la betterave, la"	"luzerne et la"	"luzerne"	"race géante, suspec"	"8192-8205"	"type=N_KON_N, form=luzerne et la"
"BSV_11_proteagineux_Normandie_cle8c8ae4"	"t et éclatement des"	"gousses, nécrose"	"gousses"	"des pétioles et feu"	"9510-9526"	"type=N_PUN_N, form=gousses, nécrose"
"BSV_12_proteagineux_Normandie_R2011_cle02d111"	"°C. Anthracnose sur"	"pois et féverole"	"pois, féverole"	"La nuisibilité de l"	"7750-7766"	"type=N_KON_N, form=pois et féverole"
"BSV_1_chataigne_7juin2013_cle03a2d9"	"% de la production"	"fruitière, la"	"fruitière"	"mortalité des ramea"	"5578-5591"	"type=N_PUN_N, form=fruitière, la"
"BSV_1_chataigne_7juin2013_cle03a2d9"	"ans une blessure du"	"châtaignier, le"	"châtaignier"	"processus de germin"	"15135-15150"	"type=N_PUN_N, form=châtaignier, le"
"BSV_26BOU_GC_2010_03_16_12"	"es par la mouche du"	"chou, le"	"chou"	"pivot n'est pas trè"	"3757-3765"	"type=N_PUN_N, form=chou, le"
"BSV_26BOU_GC_2014_03_04_16"	"ançon de la tige du"	"colza, le"	"colza"	"charançon de la tig"	"4133-4142"	"type=N_PUN_N, form=colza, le"
"BSV_26BOU_GC_2014_05_20_27"	"vement, bordures de"	"bois et haies"	"bois"	", par14 celles régul"	"17534-17547"	"type=N_KON_N, form=bois et haies"
"BSV_2_chataigne_28juin2012_cle4ef6f6"	"t en place dans les"	"vergers et les"	"vergers"	"cultures légumières"	"2419-2433"	"type=N_KON_N, form=vergers et les"
"BSV_2_chataigne_28juin2012_cle4ef6f6"	"nologie des espèces"	"fruitières et fruits"	"fruitières"	"rouges""-CTIFL) PROC"	"13558-13578"	"type=N_KON_N, form=fruitières et fruits"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"ans une parcelle en"	"féverole et une"	"féverole"	"parcelle en pois, l"	"816-831"	"type=N_KON_N, form=féverole et une"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"et une parcelle en"	"pois, le"	"pois"	"seuil de 10 morsure"	"844-852"	"type=N_PUN_N, form=pois, le"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"eine-Martitime. Sur"	"pois, le"	"pois"	"seuil de nuisibilit"	"1004-1012"	"type=N_PUN_N, form=pois, le"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"entation azotée des"	"pois et féveroles"	"pois, féveroles"	". Les pertes de rend"	"4887-4904"	"type=N_KON_N, form=pois et féveroles"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"plante. Sitones sur"	"pois et féveroles"	"pois, féveroles"	"Le seuil de nuisibi"	"5684-5701"	"type=N_KON_N, form=pois et féveroles"
"BSV_2_proteagineux_Normandie_2012_cle8c9949"	"ité est atteint sur"	"pois et féveroles"	"pois, féveroles"	"entre les stades le"	"5742-5759"	"type=N_KON_N, form=pois et féveroles"
"BSV_3_chataigne_30juillet2013_cle85215d"	"e l'enveloppe de la"	"châtaigne et s'enfonce"	"châtaigne"	"dans le sol. Elle t"	"4781-4803"	"type=N_KON_N, form=châtaigne et s'enfonce"
"BSV_3_cle0c8d2b-2"	"VEGETAL RHONE-ALPES"	"Horticulture et pépinière"	"Horticulture, pépinière"	"n°3 12 octobre 2011"	"43-68"	"type=N_KON_N, form=Horticulture et pépinière"
"BSV_3_cle0c8d2b-2"	"s bractées. Sur les"	"Pensées et Primevères"	"Pensées, Primevères"	"Quelques attaques é"	"13376-13397"	"type=N_KON_N, form=Pensées et Primevères"
"BSV_43FCO_GC_2009_07_28_20"	"ement les cultures ("	"blé, colza, orge, maïs, tournesol, soja"	"blé, colza, orge, maïs, tournesol, soja"	"...) ;il est égalem"	"11735-11774"	"type=N_PUN_N, form=blé, colza, orge, maïs, tournesol, soja"
"BSV_43FCO_GC_2009_07_28_20"	"s grandes cultures ("	"colza, blé, orge"	"colza, blé"	"d'hiver, orge de pr"	"13051-13067"	"type=N_PUN_N, form=colza, blé, orge"
"BSV_43FCO_GC_2009_07_28_20"	"ge d'hiver, orge de"	"printemps, maïs, tournesol, triticale, soja"	"maïs, tournesol, triticale, soja"	") sera constitué de"	"13085-13128"	"type=N_PUN_N, form=printemps, maïs, tournesol, triticale, soja"
"BSV_43FCO_GC_2009_10_19_27"	"cerne les très gros"	"colzas, le"	"colzas"	"risque encouru est"	"1722-1732"	"type=N_PUN_N, form=colzas, le"
"BSV_43FCO_GC_2009_10_19_27"	"avant le 9 octobre ("	"blé, orge, triticale"	"blé, orge, triticale"	"). Insectes Cicadell"	"3567-3587"	"type=N_PUN_N, form=blé, orge, triticale"
"BSV_43FCO_GC_2009_10_19_27"	"observées ce lundi ("	"blé, orge, triticale"	"blé, orge, triticale"	"), l'activité est fa"	"3879-3899"	"type=N_PUN_N, form=blé, orge, triticale"
"BSV_43FCO_GC_2009_10_19_27"	"vées cette semaine ("	"blé, orge, triticale"	"blé, orge, triticale"	"), les pucerons sont"	"4446-4466"	"type=N_PUN_N, form=blé, orge, triticale"
"BSV_43FCO_GC_2009_10_19_27"	"tobre 2009 5 BILAN"	"TOURNESOL et SOJA"	"TOURNESOL, SOJA"	"(Vanesse) 2009 Semi"	"10689-10706"	"type=N_KON_N, form=TOURNESOL et SOJA"
"BSV_43FCO_GC_2009_10_19_27"	"illes par pied. Sur"	"Tournesol, les"	"Tournesol"	"chenilles ont dans"	"12046-12060"	"type=N_PUN_N, form=Tournesol, les"
"BSV_43FCO_GC_2010_05_10_12"	"fusarioses sur épi"	"Betteraves, pomme"	"Betteraves"	"de terre, soja, aut"	"7062-7079"	"type=N_PUN_N, form=Betteraves, pomme"
"BSV_43FCO_GC_2010_05_10_12"	"etteraves, pomme de"	"terre, soja"	"soja"	", autres Céréales à"	"7083-7094"	"type=N_PUN_N, form=terre, soja"
"BSV_43FCO_GC_2010_05_10_12"	", autres Céréales à"	"paille, colza, lin, pois, féverole, tournesol"	"colza, lin, pois, féverole, tournesol"	"Maïs, sorgho grain("	"7114-7159"	"type=N_PUN_N, form=paille, colza, lin, pois, féverole, tournesol"
"BSV_43FCO_GC_2010_05_10_12"	"féverole, tournesol"	"Maïs, sorgho"	"Maïs, sorgho"	"grain(maïs fourrage"	"7160-7172"	"type=N_PUN_N, form=Maïs, sorgho"
"BSV_4_cereales_Normandie_cle87b83e"	"maine à la fois sur"	"blé et orge"	"blé, orge"	". Quelques vols de f"	"2279-2290"	"type=N_KON_N, form=blé et orge"
"BSV_5_chataigne_28aout2013"	"e l'enveloppe de la"	"châtaigne et s'enfonce"	"châtaigne"	"dans le sol. Elle t"	"4598-4620"	"type=N_KON_N, form=châtaigne et s'enfonce"
"BSV_8_cereales_Normandie_R2012_cle0a7838"	"servations pour les"	"blés et les"	"blés"	"orges qui n'ont pas"	"1148-1159"	"type=N_KON_N, form=blés et les"
"BSV_8_cereales_Normandie_R2012_cle0a7838"	"té des pucerons sur"	"blé et orge"	"blé, orge"	"est faible dans les"	"1305-1316"	"type=N_KON_N, form=blé et orge"
"BSV_8_cereales_Normandie_R2012_cle0a7838"	"es ni insecticides)"	"Blé et orge"	"Blé, orge"	"BLE Limaces : Sur l"	"2945-2956"	"type=N_KON_N, form=Blé et orge"
"BSV_9_cereales_Normandie_cle81b469"	"rs observés sur"	"blé et orge"	"blé, orge"	". MALADIES"	"826-837"	"type=N_KON_N, form=blé et orge"
"BSV_9_cereales_Normandie_cle81b469"	"au développement du"	"champignon, l'hiver"	"champignon"	"froid a limité les"	"7858-7877"	"type=N_PUN_N, form=champignon, l'hiver"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"yal-Gala, Reine des"	"Reinettes et Golden"	"Golden"	": stades I à J;Canad"	"5761-5780"	"type=N_KON_N, form=Reinettes et Golden"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"chenilles rouges du"	"poirier et cochenilles"	"poirier"	"blanches du mûrier"	"10506-10528"	"type=N_KON_N, form=poirier et cochenilles"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"omyies des feuilles"	"pommiers et poiriers"	"pommiers, poiriers"	"Etat général Des sy"	"11106-11126"	"type=N_KON_N, form=pommiers et poiriers"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"de nuisibilité Sur"	"pommier, le"	"pommier"	"seuil de nuisibilit"	"16328-16339"	"type=N_PUN_N, form=pommier, le"
"BSV_Arbo_Centre_16_11-04-26_cle06b771"	"de nuisibilité Sur"	"pommier, le"	"pommier"	"seuil de nuisibilit"	"17537-17548"	"type=N_PUN_N, form=pommier, le"
"BSV_Arbo_Centre_6_11-03-14_cle414993"	"oskoop, stade C sur"	"Gala, Golden"	"Gala, Golden"	", Reine des Reinette"	"5558-5570"	"type=N_PUN_N, form=Gala, Golden"
"BSV_Arbo_Centre_6_11-03-14_cle414993"	"de nuisibilité Sur"	"pommier, le"	"pommier"	"seuil de nuisibilit"	"9652-9663"	"type=N_PUN_N, form=pommier, le"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no10_du_21-05-2013_cle43573f"	"t en place dans les"	"vergers et les"	"vergers"	"cultures légumières"	"2573-2587"	"type=N_KON_N, form=vergers et les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no10_du_21-05-2013_cle43573f"	"rture des fleurs de"	"pommiers, les"	"pommiers"	"dégâts dus aux anth"	"5829-5842"	"type=N_PUN_N, form=pommiers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"t en place dans les"	"vergers et les"	"vergers"	"cultures légumières"	"3955-3969"	"type=N_KON_N, form=vergers et les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"Dans la plupart des"	"vergers, les"	"vergers"	"dégâts sont assez r"	"6319-6331"	"type=N_PUN_N, form=vergers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"tion, dans certains"	"vergers, les"	"vergers"	"populations d'acari"	"6881-6893"	"type=N_PUN_N, form=vergers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no11_du_09-05-2012_cle4117c7"	"endré Dans certains"	"vergers, les"	"vergers"	"populations sont en"	"8078-8090"	"type=N_PUN_N, form=vergers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no12_du_15-05-2012_cle415e3e"	"t en place dans les"	"vergers et les"	"vergers"	"cultures légumières"	"4117-4131"	"type=N_KON_N, form=vergers et les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no12_du_15-05-2012_cle415e3e"	"Dans la plupart des"	"vergers, les"	"vergers"	"dégâts sont assez r"	"7006-7018"	"type=N_PUN_N, form=vergers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no12_du_15-05-2012_cle415e3e"	"endré Dans certains"	"vergers, les"	"vergers"	"populations sont en"	"8672-8684"	"type=N_PUN_N, form=vergers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no20_du_22-07-2014_cle491adf"	"ts Quelques fruits ("	"pommes et poires"	"pommes, poires"	") touchés par la mon"	"2217-2233"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no20_du_22-07-2014_cle491adf"	"judiciable pour les"	"pommes et poires"	"pommes"	"de table. A suivre."	"4574-4590"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no2_du_11-03-2014_cle0ad871"	"mmier Dans certains"	"vergers, les"	"vergers"	"anthonomes sont en"	"3025-3037"	"type=N_PUN_N, form=vergers, les"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no2_du_26-03-2013_note_national_cle8e19a6"	"nne (ex. mildiou du"	"tournesol, flavescence"	"tournesol"	"dorée de la vigne,"	"6749-6771"	"type=N_PUN_N, form=tournesol, flavescence"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no2_du_26-03-2013_note_national_cle8e19a6"	"escence dorée de la"	"vigne, feu"	"vigne"	"bactérien des rosac"	"6784-6794"	"type=N_PUN_N, form=vigne, feu"
"BSV_Arboriculture-Fruits_transformes_Bretagne-Normandie-Pays_de_la_Loire_no2_du_26-03-2013_note_national_cle8e19a6"	"escence dorée de la"	"vigne, maladie"	"vigne"	"phytoplasmique tran"	"7816-7830"	"type=N_PUN_N, form=vigne, maladie"
"BSV_Arboriculture_FT_no36_du_05062014_cle076171"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"4352-4368"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_FT_no6_du_24032014_cle448887"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"6805-6821"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_n_34_du_1er_juin_2012_cle81dcf7"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"2032-2048"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no10_du_12_avril_2011_cle8d917f"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"5695-5711"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no24_du_27_mai_2011_cle0225f1"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"2273-2289"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no26_du_13052014_cle81fe48"	"t en place dans les"	"vergers et les"	"vergers"	"cultures l gumi res"	"2881-2895"	"type=N_KON_N, form=vergers et les"
"BSV_Arboriculture_no26_du_13052014_cle81fe48"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"25909-25925"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no38_du_27_septembre_2011_cle81baae"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"4507-4523"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no39_du_11_juin_2012_cle8ccdff"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"6304-6320"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no42_du_01072014_cle88a477"	"citer : Prunus sp.("	"cerisier, p"	"cerisier"	"cher, prunier), Mal"	"17156-17167"	"type=N_PUN_N, form=cerisier, p"
"BSV_Arboriculture_no42_du_01072014_cle88a477"	"nus sp.(cerisier, p"	"cher, prunier"	"prunier"	"), Malus domestica L"	"17168-17181"	"type=N_PUN_N, form=cher, prunier"
"BSV_Arboriculture_no42_du_01072014_cle88a477"	"ommier), Rubus sp. ("	"framboisier, muroise, mŒre"	"framboisier"	"mettre en vidence l"	"17270-17296"	"type=N_PUN_N, form=framboisier, muroise, mŒre"
"BSV_Arboriculture_no42_du_01072014_cle88a477"	"cardie des filiƒres"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"20103-20119"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no47_du_27_juin_2012_cle85d7b3"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"2084-2100"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no49_du_02092014_cle82df79"	"velles cultures : m"	"re, sureau"	"sureau"	", prune... -Détail p"	"14778-14788"	"type=N_PUN_N, form=re, sureau"
"BSV_Arboriculture_no49_du_02092014_cle82df79"	"cardie des filiƒres"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"16944-16960"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no7_du_4_avril_2011_cle0ba19b"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Franƒois Hanquart"	"4853-4869"	"type=N_KON_N, form=pommes et poires"
"BSV_Arboriculture_no9_du_15042013_cle84d1cd"	"cardie des fili res"	"pommes et poires"	"pommes, poires"	": Fran ois Hanquart"	"4736-4752"	"type=N_KON_N, form=pommes et poires"
"BSV_Betterave_no14_cle8a2eff"	"nt dans le cœur des"	"betteraves, les"	"betteraves"	"chenilles les plus"	"3456-3471"	"type=N_PUN_N, form=betteraves, les"
"BSV_Betterave_no14_cle8a2eff"	"ronnement immédiat ("	"bois, haie, proximité"	"bois"	"de blé de betterave"	"4029-4050"	"type=N_PUN_N, form=bois, haie, proximité"
"BSV_Cereales_a_paille_2011_S13-1_cle0d7463"	"(retour fréquent du"	"blé, variétés"	"blé"	"sensibles, semis pr"	"2707-2720"	"type=N_PUN_N, form=blé, variétés"
"BSV_Cereales_a_paille_2011_S13-1_cle0d7463"	"(retour fréquent de"	"blé, variété"	"blé"	"sensible, milieu fa"	"3346-3358"	"type=N_PUN_N, form=blé, variété"
"BSV_Cultures_Legumieres_N58_cle08ed2d"	"de la carotte : sur"	"céleri, les"	"céleri"	"captures sont encor"	"177-188"	"type=N_PUN_N, form=céleri, les"
"BSV_Cultures_Legumieres_N58_cle08ed2d"	"ude et ensoleillée."	"CAROTTE et CELERI"	"CAROTTE, CELERI"	"-RAVE 3 parcelles fi"	"980-997"	"type=N_KON_N, form=CAROTTE et CELERI"
"BSV_Cultures_Legumieres_N58_cle08ed2d"	"t en place dans les"	"vergers et les"	"vergers"	"cultures légumières"	"11166-11180"	"type=N_KON_N, form=vergers et les"
"BSV_Cultures_Legumieres_N58_cle08ed2d"	"es de production de"	"melon, la"	"melon"	"coopérative AGROLEG"	"12236-12245"	"type=N_PUN_N, form=melon, la"
"BSV_Cultures_Legumieres_No117_cle8542c6"	"d'autres alliacées ("	"oignon, ciboulette"	"oignon, ciboulette"	") permettent déjà d'"	"6263-6281"	"type=N_PUN_N, form=oignon, ciboulette"
"BSV_Cultures_Legumieres_No117_cle8542c6"	"es de production de"	"melon, la"	"melon"	"coopérative AGROLEG"	"7597-7606"	"type=N_PUN_N, form=melon, la"
"BSV_Cultures_Legumieres_No139_cle82191f"	"sur l'île d'Oléron."	"CAROTTE et CELERI"	"CAROTTE, CELERI"	"Mouche de la carott"	"1089-1106"	"type=N_KON_N, form=CAROTTE et CELERI"
"BSV_Cultures_Legumieres_No139_cle82191f"	"bre 2014 Page 6 / 7"	"CAROTTE et CELERI"	"CAROTTE, CELERI"	"-RAVE 6 parcelles fi"	"8895-8912"	"type=N_KON_N, form=CAROTTE et CELERI"
"BSV_Cultures_Legumieres_No139_cle82191f"	"(Psila rosae) : En"	"carotte, le"	"carotte"	"piégeage est nul ou"	"8992-9003"	"type=N_PUN_N, form=carotte, le"
"BSV_Cultures_Legumieres_No139_cle82191f"	"es de production de"	"melon, la"	"melon"	"coopérative AGROLEG"	"11941-11950"	"type=N_PUN_N, form=melon, la"
"BSV_Cultures_Ornementales_et_ZNA_No5_du_13_06_14_cle85d729"	"toute la région sur"	"choisya, acacia, rosiers, griseline, hibiscus, polygala"	"rosiers, hibiscus"	"et azalées. 13 juin"	"3041-3096"	"type=N_PUN_N, form=choisya, acacia, rosiers, griseline, hibiscus, polygala"
"BSV_Cultures_Ornementales_et_ZNA_No5_du_13_06_14_cle85d729"	"aux concernés sont:"	"Rosier, rhododendron, pittospore, bambous, photinia, viburnum et hêtre"	"Rosier, photinia"	". La présence d'indi"	"3657-3727"	"type=N_PUN_N_KON_N, form=Rosier, rhododendron, pittospore, bambous, photinia, viburnum et hêtre"
"BSV_Cultures_Ornementales_et_ZNA_No5_du_13_06_14_cle85d729"	"plusieurs végétaux:"	"pittospore, acacia, eucalyptus et eleagnus"	"eleagnus"	". On y retrouve prin"	"4258-4300"	"type=N_PUN_N_KON_N, form=pittospore, acacia, eucalyptus et eleagnus"
"BSV_FC_Vigne3_170412"	"la stagnation de la"	"vigne, l'activité"	"vigne"	"des mange bourgeons"	"4974-4991"	"type=N_PUN_N, form=vigne, l'activité"
"BSV_GC_MP_10_11"	"a partie Céréales à"	"paille et tournesol"	"tournesol"	"par l'animateur fil"	"12720-12739"	"type=N_KON_N, form=paille et tournesol"
"BSV_GC_MP_10_4"	"ques de sitones sur"	"pois et féverole"	"pois, féverole"	"; seuil de nuisibil"	"670-686"	"type=N_KON_N, form=pois et féverole"
"BSV_GC_MP_10_4"	"s (ray-grass, folle"	"avoine, véronique, gaillet"	"avoine, véronique, gaillet"	", coquelicot...). P"	"1975-2001"	"type=N_PUN_N, form=avoine, véronique, gaillet"
"BSV_GC_MP_10_4"	"ançon de la tige du"	"colza et le"	"colza"	"charançon de la tig"	"5110-5121"	"type=N_KON_N, form=colza et le"
"BSV_GC_MP_10_4"	"ié des parcelles en"	"pois et féverole"	"pois"	"d'hiver du réseau."	"7245-7261"	"type=N_KON_N, form=pois et féverole"
"BSV_GC_No37_25_10_2011_cle0c88d7"	"le stade avancé des"	"colzas, fin"	"colzas"	"du risque pucerons"	"1457-1468"	"type=N_PUN_N, form=colzas, fin"
"BSV_GC_No37_25_10_2011_cle0c88d7"	"le stade avancé des"	"colzas, l'impact"	"colzas"	"est limité. Réparti"	"1705-1721"	"type=N_PUN_N, form=colzas, l'impact"
"BSV_GC_n_07_du_15_octobre_2013"	"ure des feuilles de"	"colza, endroit"	"colza"	"où généralement les"	"5933-5947"	"type=N_PUN_N, form=colza, endroit"
"BSV_GC_n_13_du_26_fevrier_2013"	"ançon de la tige du"	"colza, le"	"colza"	"charançon de la tig"	"6085-6094"	"type=N_PUN_N, form=colza, le"
"BSV_GC_n_21_du_12_avril_2011"	"a dans la rotation ("	"colza, tournesol"	"colza, tournesol"	"soja ),les attaques"	"4429-4445"	"type=N_PUN_N, form=colza, tournesol"
"BSV_GC_n_21_du_12_avril_2011"	"u développement des"	"céréales, la"	"céréales"	"période de risque p"	"8786-8798"	"type=N_PUN_N, form=céréales, la"
"BSV_GC_no7_29_03_2011_cle47d754"	"quence de retour du"	"blé et travail"	"blé"	"du sol),2. le milie"	"5097-5111"	"type=N_KON_N, form=blé et travail"
"BSV_GC_no7_29_03_2011_cle47d754"	"tade très jeune des"	"lins, la"	"lins"	"surveillance s'impo"	"12391-12399"	"type=N_PUN_N, form=lins, la"
"BSV_HP_13-02_cle04e1ee"	"me de terre légumes"	"industriels, arboriculture, maraîchage, pépinière"	"arboriculture, maraîchage, pépinière"	"horticulture, zones"	"5093-5142"	"type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière"
"BSV_HP_13-02_cle04e1ee"	"raîchage, pépinière"	"horticulture, zones"	"horticulture"	"non agricoles. Le B"	"5143-5162"	"type=N_PUN_N, form=horticulture, zones"
"BSV_Horti_n_01_du_02_mars_2012"	"eurs. En effet, les"	"pensées, primevères"	"pensées, primevères"	"des jardins et autr"	"244-263"	"type=N_PUN_N, form=pensées, primevères"
"BSV_Horti_n_01_du_02_mars_2012"	"ctions de plantes à"	"massif et géraniums"	"géraniums"	". Il en résulte une"	"355-374"	"type=N_KON_N, form=massif et géraniums"
"BSV_Horti_n_06_du_11_mai_2012"	"HRIPS sur plantes à"	"massif et géranium"	"géranium"	"lierre : vigilance"	"77-95"	"type=N_KON_N, form=massif et géranium"
"BSV_Horti_n_06_du_11_mai_2012"	"t en place dans les"	"vergers et les"	"vergers"	"cultures légumières"	"1964-1978"	"type=N_KON_N, form=vergers et les"
"BSV_Horti_n_06_du_11_mai_2012"	"HRIPS sur plantes à"	"massif et géranium"	"géranium"	"lierre : vigilance"	"3334-3352"	"type=N_KON_N, form=massif et géranium"
"BSV_Horticulture_n_01_du_14_mars_2014"	"eurs. En effet, les"	"géraniums et plantes"	"géraniums"	"à massif récemment"	"204-224"	"type=N_KON_N, form=géraniums et plantes"
"BSV_Horticulture_n_01_du_14_mars_2014"	"les productions de"	"pensées, primevères"	"pensées, primevères"	"des jardins et autr"	"281-300"	"type=N_PUN_N, form=pensées, primevères"
"BSV_Horticulture_n_01_du_14_mars_2014"	": quelques cas sur"	"cyclamen,
primevère"	"primevère"	"des jardins et gaza"	"1205-1224"	"type=N_PUN_N, form=cyclamen,
primevère"
"BSV_Horticulture_n_01_du_14_mars_2014"	"amen, primevère des"	"jardins et gazania"	"jardins"	". Les cultures à hau"	"1229-1247"	"type=N_KON_N, form=jardins et gazania"
