	Line	Column	Rule ID	Prio	Message	Word	Suggestion
1097	2286	1	D_N[1] 	1	‘Cinq’ et le nom ‘cinquantaine’ ne semblent pas bien accordés.	cinq	cinq cinquantaines
1098	2290	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cipitations	capitations
1099	2297	1			« clair » et « claire » ne semblent pas bien accordés en genre.	claire	clair
1100	2299	1			« claire » et « clairet » ne semblent pas bien accordés en genre.	clairet	clairette
1101	2300	1			« clairet » et « clairette » ne semblent pas bien accordés en genre.	clairette	clairet
1102	2316	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cléistothèces	
1103	2319	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	co-pilotée	quo; que; qui; ce; cm
1104	2325	1			« colas » et « collaboration » ne semblent pas bien accordés en nombre.	colas	
1105	2327	1			« collaboration » et « collatéral » ne semblent pas bien accordés en genre.	collatéral	collatérale
1106	2331	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	collot@grandest	
1107	2332	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	colombard	lombard; colombage
1108	2338	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	com	COM; comme; nom; cm; col
1109	2356	1			« compacité » et « compact » ne semblent pas bien accordés en genre.	compact	compacte
1110	2357	1			« compact » et « compaction » ne semblent pas bien accordés en genre.	compaction	
1111	2363	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	complant	comptant; comblant; compilant; couplant; complait
1112	2368	1			« complémentaire » et « complétements » ne semblent pas bien accordés en nombre.	complémentaire	
1113	2389	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	concer	concert; cancer; coincer; conque; conter
1114	2393	1			« conclusion » et « concurrentiel » ne semblent pas bien accordés en genre.	concurrentiel	concurrentielle
1115	2394	1			« concurrentiel » et « condition » ne semblent pas bien accordés en genre.	condition	
1116	2402	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	confon	confond; conf on
1117	2408	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	confusée	confuse; confuses; confessée; con fusée; conf usée
1118	2409	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	confusés	confuses; confuse; confessés; confesses; confises
1119	2412	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	conidiophores	
1120	2439	1			« consécutif » et « conséquence » ne semblent pas bien accordés en genre.	conséquence	
1121	2440	1			« conséquence » et « conséquent » ne semblent pas bien accordés en genre.	conséquent	conséquente
1122	2442	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	contact@paca	
1123	2444	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	contami	contai; conta mi
1124	2445	1			« contaminante » et « contaminantes » ne semblent pas bien accordés en nombre.	contaminante	
1125	2447	1			« contaminants » et « contaminateur » ne semblent pas bien accordés en nombre.	contaminants	
1126	2447	1			« contaminantes » et « contaminants » ne semblent pas bien accordés en genre.	contaminants	contaminantes
1127	2449	1			« contaminateur » et « contamination » ne semblent pas bien accordés en genre.	contamination	
1128	2451	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	contamintaion	contamination
1129	2464	1			Faute de frappe possible : un mot est répété : contre contre. Correction : « contre ».	contre	contre
1130	2465	1			Le verbe « contre » devrait être à l’infinitif après la préposition « contre »	contre-la	contrer
1131	2472	1			Faute de frappe possible : un mot est répété : convenir convenir. Correction : « convenir ».	convenir	convenir
1132	2475	1			« convention » et « conventionnel » ne semblent pas bien accordés en genre.	conventionnel	conventionnelle
1133	2477	1			« coopératif » et « coopérative » ne semblent pas bien accordés en genre.	coopérative	coopératif
1134	2483	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	core	coré; cause; côté; code; côte
1135	2484	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	corinne	Corinne; Corine; copine; Carine; couine
1136	2486	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	corni	fourni; corne; cornu; corné; corna
1137	2499	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cots	côté; côtés; côte; mots; coûts
1138	2521	1			« couturière » et « couvert » ne semblent pas bien accordés en genre.	couvert	couverte
1139	2525	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cpas	pas; cas; caps; chas; appas
1140	2526	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cra-corse	car; créa; ça; CFA; CIA
1141	2539	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	crosées	crossées; croisées; arrosées; creusées; crosses
1142	2553	1			« cultural » et « culture » ne semblent pas bien accordés en genre.	culture	
1143	2557	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cués	ces; rues; tués; vues; clés
1144	2558	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cyazofamide	cyanamide
1145	2561	1	FR_SPELLING_RULE 	-100	Faute de frappe possible trouvée.	cé	que; ce; quai; CE; qué
