"bsv"	"context"	"word"	"context"	"location"	"features"
"BSV_28-19_cereales_Normandie_R2015_cle8e8112"	"es de stade Echelle"	"BBCH : Stade 15"	", maïs à 5 feuilles"	"3819-3834"	"type=BBCH, form=BBCH : Stade 15"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"nœuds visibles (C2"	"BBCH31"	") à ""Boutons accolés"	"1278-1284"	"type=BBCH, form=BBCH31"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"les terminales ""(D1"	"BBCH50"	"). Charançon de la t"	"1352-1358"	"type=BBCH, form=BBCH50"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"es sensibles D1/D2 ("	"BBCH5051"	"). Céréales à paille"	"1722-1730"	"type=BBCH, form=BBCH5051"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"nœuds visibles"" (C2"	"BBCH31"	"). 38% sont au stade"	"2351-2357"	"type=BBCH, form=BBCH31"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"es terminales "" (D1"	"BBCH50"	"). Photo : V. LACORR"	"2443-2449"	"type=BBCH, form=BBCH50"
"BSV_GC_NA_Limousin_02_20190305_cle077475"	"stade "" épi 1 cm "" ("	"BBCH 30"	") devrait être attei"	"6650-6657"	"type=BBCH, form=BBCH 30"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"e "" caryopse sec "" ("	"BBCH 00"	") au stade "" 6 Feuil"	"1343-1350"	"type=BBCH, form=BBCH 00"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"ade "" 6 Feuilles "" ("	"BBCH 16"	"). Corvidés : les co"	"1377-1384"	"type=BBCH, form=BBCH 16"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"de "" Gonflement "" ("	"BBCH 45"	") à "" Fin épiaison """	"1724-1731"	"type=BBCH, form=BBCH 45"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"à "" Fin épiaison "" ("	"BBCH 59"	"). Septoriose : pres"	"1753-1760"	"type=BBCH, form=BBCH 59"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"caryopse sec "" ("	"BBCH 00"	"). imbibition graine"	"2871-2878"	"type=BBCH, form=BBCH 00"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"mbibition graine "" ("	"BBCH 01 - 03"	"). levée et feuille"	"2902-2914"	"type=BBCH, form=BBCH 01 - 03"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"rt du coléoptile "" ("	"BBCH 09 - 10"	"). 1 à 2 Feuilles """	"2956-2968"	"type=BBCH, form=BBCH 09 - 10"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	". 1 à 2 Feuilles "" ("	"BBCH 11 - 12"	"). 6 Feuilles "" (BBC"	"2989-3001"	"type=BBCH, form=BBCH 11 - 12"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"12). 6 Feuilles "" ("	"BBCH 16"	"). % de plan"	"3018-3025"	"type=BBCH, form=BBCH 16"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	": D u stade semis ("	"BBCH 00"	") au stade 3-4 feuil"	"4659-4666"	"type=BBCH, form=BBCH 00"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"stade 3-4 feuilles ("	"BBCH 14"	"). Symptômes : Trou"	"4691-4698"	"type=BBCH, form=BBCH 14"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"de la germination ("	"BBCH 05"	") au stade 8 à 10 fe"	"5750-5757"	"type=BBCH, form=BBCH 05"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"de 8 à 10 feuilles ("	"BBCH 18"	"). Symptômes : Attaq"	"5785-5792"	"type=BBCH, form=BBCH 18"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"sque : de la levée ("	"BBCH 09"	") à 5/6 feuilles (BB"	"6513-6520"	"type=BBCH, form=BBCH 09"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	"09) à 5/6 feuilles ("	"BBCH 16"	"). Seuil indicatif d"	"6538-6545"	"type=BBCH, form=BBCH 16"
"BSV_GC_NA_Limousin_13_20190521_cle0cb17e"	": du stade 2 nœuds ("	"BBCH 32"	") à fin floraison (B"	"9809-9816"	"type=BBCH, form=BBCH 32"
