id	type	context	context	context	word	context	context	context	location	features
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	K	631	«	Baies	à	taille	de	1287-1292	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Arbres_baies, skos-prefLabel=arbuste à baies, form=Baies
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	à	taille	de	pois	»	sur	les	1305-1309	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Pois, skos-prefLabel=pois, form=pois
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	orageuse	.	OÏDIUM	FRUIT	Tous	les	éléments	2733-2738	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	n°	12	TORDEUSES	FRUIT	Tous	les	éléments	3490-3495	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	perforation	de	quelques	baies	mais	ils	sont	3782-3787	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Arbres_baies, skos-prefLabel=arbuste à baies, form=baies
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	(	perforation	des	baies	par	les	larves	4218-4223	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Arbres_baies, skos-prefLabel=arbuste à baies, form=baies
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	PARTENAIRES	DU	RÉSEAU	VIGNE	V	i	t	4915-4920	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=VIGNE
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190710_LOR_BSV_Viticulture_cle8bd128.html	html	Animation	du	réseau	Vigne	:	Amélie	MARI	5436-5441	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Vignes, skos-prefLabel=vigne, form=Vigne
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	15	BILAN	MÉTÉO	FRUIT	Données	du	22/07	743-748	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
/Users/belka/Documents/work/inrae/scripts/projection_de_lexique/viticulture/resources/html_corpus/20190731_LOR_Viticulture-1_cle45ef1d.html	html	8	347	PHENOLOGIE	FRUIT	La	fermeture	est	1414-1419	type=LEMMATIZED, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, skos-prefLabel=culture fruitière, form=FRUIT
