"bsv"	"context"	"word"	"context"	"location"	"features"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"entices des Grandes"	"Cultures et les méthodes de lutte"	"préventive en consu"	"15682-15715"	"type=N_KON_N, form=Cultures et les méthodes de lutte"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"rnière feuille pour"	"les blés et apparition des barbes"	"pour les orges d'hi"	"215-248"	"type=N_KON_N, form=les blés et apparition des barbes"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"iser les colzas. En"	"effet, les colzas"	"présentent une fort"	"11195-11212"	"type=N_PUN_N, form=effet, les colzas"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"cette campagne. En"	"effet, le colza"	"a une forte capacit"	"11700-11715"	"type=N_PUN_N, form=effet, le colza"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"a dans la rotation ("	"colza, tournesol, soja, pois"	")- Les attaques rec"	"16410-16438"	"type=N_PUN_N, form=colza, tournesol, soja, pois"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"entices des Grandes"	"Cultures et les méthodes de lutte"	"préventive en consu"	"24647-24680"	"type=N_KON_N, form=Cultures et les méthodes de lutte"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"rs BSV n°13, Grande"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"1488-1504"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	") BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"3518-3534"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"5866-5882"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"é BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"6401-6417"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"7365-7381"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"9135-9151"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"9871-9887"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	": BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"12146-12162"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"lture précédente au"	"sol, maïs"	"ou sorgho, souvent"	"13599-13608"	"type=N_PUN_N, form=sol, maïs"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"13722-13738"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	") BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"15246-15262"	"type=N_PUN_N, form=Cultures, région"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	". BSV n°13, Grandes"	"Cultures, région"	"Auvergne-Rhône-Alpe"	"18052-18068"	"type=N_PUN_N, form=Cultures, région"
