"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"char_gdes_Cultures_no11_du_30-04-19_cle096f9c"	"de biocontrôle sur"	"les pailles et chaumes"	"les  et chaumes"	"pailles ( céréale à paille ) =http://ontology.inrae.fr/frenchcropusage/Cereales_paille"	"permet de faire dim"	"14999-15021"	"type=N_KON_N, match=fcu, form=les pailles et chaumes"
"char_gdes_Cultures_no11_du_30-04-19_cle096f9c"	"cipaux ravageurs du"	"sol du maïs et les corvidés"	"sol du  et les corvidés"	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	". Avec le retour de"	"20431-20458"	"type=N_KON_N, match=fcu, form=sol du maïs et les corvidés"
"char_gdes_Cultures_no14_du_22-05-19_cle0b1586"	"s : Ascochytose sur"	"pois et botrytis"	" et botrytis"	"pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	"sur féverole signal"	"1396-1412"	"type=N_KON_N, match=fcu, form=pois et botrytis"
"char_gdes_Cultures_no14_du_22-05-19_cle0b1586"	"t-semis prélevée du"	"maïs, la herse"	", la herse"	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"étrille peut être e"	"25747-25761"	"type=N_PUN_N, match=fcu, form=maïs, la herse"
"char_gdes_Cultures_no14_du_22-05-19_cle0b1586"	"entices. Au-delà de"	"la levée du maïs, la herse"	"la levée du , la herse"	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"étrille peut occasi"	"25863-25889"	"type=N_PUN_N, match=fcu, form=la levée du maïs, la herse"
"char_gdes_Cultures_no14_du_22-05-19_cle0b1586"	"aux repousses dans"	"les céréales, les betteraves"	"les céréales, les betteraves"	"céréales ( céréale ) =http://ontology.inrae.fr/frenchcropusage/Cereales, betteraves ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves"	"et dans les jardins"	"28504-28532"	"type=N_PUN_N, match=fcu, form=les céréales, les betteraves"
"20180802_bsvmaraichage_19_cle04c2cf"	"is suivies. Altise ("	"Choux, Radis, Roquette"	"Choux, Radis, Roquette"	"Choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, Choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, Radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, Roquette ( roquette ) =http://ontology.inrae.fr/frenchcropusage/Roquettes"	") La pression altise"	"6454-6476"	"type=N_PUN_N, match=fcu, form=Choux, Radis, Roquette"
"20180802_bsvmaraichage_19_cle04c2cf"	"ivies de la région ("	"choux, radis, roquette"	"choux, radis, roquette"	"choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, roquette ( roquette ) =http://ontology.inrae.fr/frenchcropusage/Roquettes"	", etc..). Des petits"	"6603-6625"	"type=N_PUN_N, match=fcu, form=choux, radis, roquette"
"20180920_bsvmaraichage_cle0649bf"	"-Levées. Ravageurs"	"Mouche du chou, Mouche des semis"	"Mouche du chou, Mouche des semis"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"(Navet) Le vol de l"	"2490-2522"	"type=N_PUN_N, match=fcu, form=Mouche du chou, Mouche des semis"
"20180920_bsvmaraichage_cle0649bf"	"impératif. Altises ("	"Navet, Rutabaga, Choux"	"Navet, Rutabaga, Choux"	"Navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, Rutabaga ( chou-navet à chair jaune ) =http://ontology.inrae.fr/frenchcropusage/Choux_navets_chair_jaune, Choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, Choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	") Les populations d'"	"2884-2906"	"type=N_PUN_N, match=fcu, form=Navet, Rutabaga, Choux"
"20180920_bsvmaraichage_cle0649bf"	"ques dans plusieurs"	"parcelles de navet, choux, rutabaga"	"parcelles de navet, choux, rutabaga"	"navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, rutabaga ( chou-navet à chair jaune ) =http://ontology.inrae.fr/frenchcropusage/Choux_navets_chair_jaune"	"sur le 49. Les cond"	"3030-3065"	"type=N_PUN_N, match=fcu, form=parcelles de navet, choux, rutabaga"
"20180920_bsvmaraichage_cle0649bf"	"bles à ce ravageur."	"Teigne des crucifères et Piéride du chou"	"Teigne des crucifères et Piéride du chou"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"(Choux) A Longué, 1"	"3159-3199"	"type=N_KON_N, match=fcu, form=Teigne des crucifères et Piéride du chou"
"20180920_bsvmaraichage_cle0649bf"	"Lambert-des-Levées."	"Aleurode du chou et Punaise"	"Aleurode du chou et Punaise"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"rouge du chou (Chou"	"3443-3470"	"type=N_KON_N, match=fcu, form=Aleurode du chou et Punaise"
"20180920_bsvmaraichage_cle0649bf"	"asse-Goulaine (44)."	"Courgette et Potiron"	"Courgette et Potiron"	"Courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes, Potiron ( potiron ) =http://ontology.inrae.fr/frenchcropusage/Potirons"	": parcelles flottan"	"5343-5363"	"type=N_KON_N, match=fcu, form=Courgette et Potiron"
"20180920_bsvmaraichage_cle0649bf"	"asse-Goulaine (44)."	"Courgette et Potiron"	"Courgette et Potiron"	"Courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes, Potiron ( potiron ) =http://ontology.inrae.fr/frenchcropusage/Potirons"	": parcelles flottan"	"7117-7137"	"type=N_KON_N, match=fcu, form=Courgette et Potiron"
"20180920_bsvmaraichage_cle0649bf"	". Maladies Oïdium ("	"Concombre, Courgette, Potiron"	"Concombre, Courgette, Potiron"	"Concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres, Courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes, Potiron ( potiron ) =http://ontology.inrae.fr/frenchcropusage/Potirons"	") Depuis plusieurs s"	"7185-7214"	"type=N_PUN_N, match=fcu, form=Concombre, Courgette, Potiron"
"20180920_bsvmaraichage_cle0649bf"	"s-sur-Loire (49) en"	"parcelle de concombre et courgette"	"parcelle de concombre et courgette"	"concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres, courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes"	"et à Beaufort-en-Va"	"7614-7648"	"type=N_KON_N, match=fcu, form=parcelle de concombre et courgette"
"20180920_bsvmaraichage_cle0649bf"	"Drosophila suzukii ("	"Fraisier , Framboisier"	"Fraisier , Framboisier"	"Fraisier ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers, Framboisier ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers"	") Les populations de"	"9335-9357"	"type=N_PUN_N, match=fcu, form=Fraisier , Framboisier"
"20181011_bsvmaraichage_27_cle09c363"	"e - Céleri - Panais"	"Mouche du céleri, septoriose"	"Mouche du , septoriose"	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	"P.3 Fraisiers Framb"	"177-205"	"type=N_PUN_N, match=fcu, form=Mouche du céleri, septoriose"
"20181011_bsvmaraichage_27_cle09c363"	"gumières : carotte,"	"tomate, concombre"	"tomate, concombre"	"tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, concombre ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	",... Les populations"	"798-815"	"type=N_PUN_N, match=fcu, form=tomate, concombre"
"20181011_bsvmaraichage_27_cle09c363"	"e. Punaise rouge du"	"chou et altise"	"chou et altise"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"(Chou, Navet) Les p"	"5414-5428"	"type=N_KON_N, match=fcu, form=chou et altise"
"20181011_bsvmaraichage_27_cle09c363"	"du chou et altise ("	"Chou, Navet"	"Chou, Navet"	"Chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, Chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, Navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers"	") Les populations de"	"5430-5441"	"type=N_PUN_N, match=fcu, form=Chou, Navet"
"20181011_bsvmaraichage_27_cle09c363"	"chou et des semis."	"Mouche du chou et mouches des semis"	"Mouche du chou et mouches des semis"	"chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"(Navet) Les piégeag"	"5733-5768"	"type=N_KON_N, match=fcu, form=Mouche du chou et mouches des semis"
"20181011_bsvmaraichage_27_cle09c363"	"pas de risque pour"	"les panais et céleri"	"les panais et céleri"	"panais ( panais ) =http://ontology.inrae.fr/frenchcropusage/Panais, céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	"en production. Mouc"	"7157-7177"	"type=N_KON_N, match=fcu, form=les panais et céleri"
"20181011_bsvmaraichage_27_cle09c363"	"ctonia et Botrytis ("	"Laitue, Mâche"	"Laitue, Mâche"	"Laitue ( laitue ) =http://ontology.inrae.fr/frenchcropusage/Laitues, Mâche ( mâche ) =http://ontology.inrae.fr/frenchcropusage/Maches"	") Sur Pont-St-Martin"	"9735-9748"	"type=N_PUN_N, match=fcu, form=Laitue, Mâche"
"20190502_BSV_legumes_cle079711"	"4/19 27/04/19 Cette"	"semaine, la mouche de la carotte"	"semaine, la mouche de la "	"carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes"	"était peu présente"	"8327-8359"	"type=N_PUN_N, match=fcu, form=semaine, la mouche de la carotte"
"20190502_BSV_legumes_cle079711"	"ns, décolorations)."	"Les aubergines et poivrons"	"Les aubergines et poivrons"	"aubergines ( aubergine ) =http://ontology.inrae.fr/frenchcropusage/Aubergines, poivrons ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	"ont été plantées la"	"24438-24464"	"type=N_KON_N, match=fcu, form=Les aubergines et poivrons"
"20190502_BSV_legumes_cle079711"	"estez vigilants sur"	"les aubergines et poivrons"	"les aubergines et poivrons"	"aubergines ( aubergine ) =http://ontology.inrae.fr/frenchcropusage/Aubergines, poivrons ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons"	"qui sont les cultur"	"25116-25142"	"type=N_KON_N, match=fcu, form=les aubergines et poivrons"
"20190731_BSV_legumes_cle01d6c6"	"cultivées (carotte,"	"luzerne, betterave"	"luzerne, betterave"	"luzerne ( luzerne ) =http://ontology.inrae.fr/frenchcropusage/Luzernes, betterave ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves"	") mais également sa"	"18840-18858"	"type=N_PUN_N, match=fcu, form=luzerne, betterave"
"20190731_BSV_legumes_cle01d6c6"	"s (oseille sauvage,"	"liseron, pissenlit"	"liseron, "	"pissenlit ( pissenlit ) =http://ontology.inrae.fr/frenchcropusage/Pissenlits"	", stellaire, chénopo"	"18903-18921"	"type=N_PUN_N, match=fcu, form=liseron, pissenlit"
"20190731_BSV_legumes_cle01d6c6"	"s au frottement par"	"le vent, le gel"	"le vent, le "	"gel ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	", des apports d'engr"	"38141-38156"	"type=N_PUN_N, match=fcu, form=le vent, le gel"
"20190828_BSV_legumes_cle0ede1d"	"cultivées (carotte,"	"luzerne, betterave"	"luzerne, betterave"	"luzerne ( luzerne ) =http://ontology.inrae.fr/frenchcropusage/Luzernes, betterave ( betterave ) =http://ontology.inrae.fr/frenchcropusage/Betteraves"	") mais également sa"	"17647-17665"	"type=N_PUN_N, match=fcu, form=luzerne, betterave"
"20190828_BSV_legumes_cle0ede1d"	"s (oseille sauvage,"	"liseron, pissenlit"	"liseron, "	"pissenlit ( pissenlit ) =http://ontology.inrae.fr/frenchcropusage/Pissenlits"	", stellaire, chénopo"	"17710-17728"	"type=N_PUN_N, match=fcu, form=liseron, pissenlit"
"20190828_BSV_legumes_cle0ede1d"	"arcelles de choux à"	"inflorescences et les choux"	"inflorescences et les choux"	"choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"légumes. 2 Altises"	"22977-23004"	"type=N_KON_N, match=fcu, form=inflorescences et les choux"
"20190828_BSV_legumes_cle0ede1d"	"notamment en choux"	"légumes et choux"	"légumes et choux"	"légumes ( culture légumière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_legumieres, choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"à choucroute. Sur l"	"23115-23131"	"type=N_KON_N, match=fcu, form=légumes et choux"
"20190828_BSV_legumes_cle0ede1d"	"du réseau notamment"	"chou de Milan et chou"	"chou de Milan et chou"	"chou de Milan ( chou de Milan ) =http://ontology.inrae.fr/frenchcropusage/Choux_Milan, chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"à inflorescence. Se"	"27497-27518"	"type=N_KON_N, match=fcu, form=chou de Milan et chou"
"20190828_BSV_legumes_cle0ede1d"	"isque augmente avec"	"le nombre de vols et les choux"	"le nombre de vols et les choux"	"choux ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, choux ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"en pleine pommaison"	"28392-28422"	"type=N_KON_N, match=fcu, form=le nombre de vols et les choux"
"20190828_BSV_legumes_cle0ede1d"	"s au frottement par"	"le vent, le gel"	"le vent, le "	"gel ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	", des apports d'engr"	"35442-35457"	"type=N_PUN_N, match=fcu, form=le vent, le gel"
"20190828_BSV_legumes_cle0ede1d"	"ne la production de"	"poivrons de concombres et d'aubergine"	"poivrons de concombres et d'aubergine"	"poivrons ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons, concombres ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	"est encore très cor"	"40662-40699"	"type=N_KON_N, match=fcu, form=poivrons de concombres et d'aubergine"
"20190828_BSV_legumes_cle0ede1d"	"c le plus souvent)."	"Les navets et radis"	"Les navets et radis"	"navets ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis"	"noirs récemment sem"	"41795-41814"	"type=N_KON_N, match=fcu, form=Les navets et radis"
"20199062_bsvmaraichage_no27_cle051121-1"	"gique P.1 Ravageurs"	"Mineuse du poireau, Mouche du chou, Mouche des semis, Mouche"	"Mineuse du poireau, Mouche du chou, Mouche des semis, Mouche"	"poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux, chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux"	"de la carotte P.2 N"	"118-178"	"type=N_PUN_N, match=fcu, form=Mineuse du poireau, Mouche du chou, Mouche des semis, Mouche"
"20199062_bsvmaraichage_no27_cle051121-1"	"Crédit photo : CDDL"	"Fraisier et Framboisiers"	"Fraisier et Framboisiers"	"Fraisier ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers, Framboisiers ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers"	"Drosophila suzukii"	"4933-4957"	"type=N_KON_N, match=fcu, form=Fraisier et Framboisiers"
"20199062_bsvmaraichage_no27_cle051121-1"	"llez vos parcelles."	"Carotte, Panais et Céleri"	"Carotte, Panais et Céleri"	"Carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes, Panais ( panais ) =http://ontology.inrae.fr/frenchcropusage/Panais, Céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	"L'oïdium se dévelop"	"7361-7386"	"type=N_PUN_N_KON_N, match=fcu, form=Carotte, Panais et Céleri"
"2019_BSV_Normandie_leg_22_sem35_cle43a9ca"	"sent sur les jeunes"	"plantations, les pépinières"	"plantations, les pépinières"	"pépinières ( arboriculture ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture, pépinières ( horticulture ornementale ) =http://ontology.inrae.fr/frenchcropusage/Horticulture_ornementale"	"et tout le cycle de"	"8296-8323"	"type=N_PUN_N, match=fcu, form=plantations, les pépinières"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ividus observés sur"	"feuilles et fruits"	"feuilles et "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"dans les parcelles"	"3268-3286"	"type=N_KON_N, match=fcu, form=feuilles et fruits"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"es débris végétaux ("	"feuilles et fruits"	"feuilles et "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"contaminés). Bullet"	"8236-8254"	"type=N_KON_N, match=fcu, form=feuilles et fruits"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"vec environ 50% des"	"fruits, tiges et feuilles"	", tiges et feuilles"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"touchés sur une par"	"9065-9090"	"type=N_PUN_N_KON_N, match=fcu, form=fruits, tiges et feuilles"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ens tétranyques sur"	"tiges et feuilles de concombres"	"tiges et feuilles de "	"concombres ( concombre ) =http://ontology.inrae.fr/frenchcropusage/Concombres"	"(A. Broggio) Thrips"	"9543-9574"	"type=N_KON_N, match=fcu, form=tiges et feuilles de concombres"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"l'avocat, la  et la papaye"	"mangue ( manguier ) =http://ontology.inrae.fr/frenchcropusage/Manguiers"	"mais l'espèce s'en"	"21849-21881"	"type=N_PUN_N_KON_N, match=fcu, form=l'avocat, la mangue et la papaye"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"s'en prend aussi au"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron ( citronnier ) =http://ontology.inrae.fr/frenchcropusage/Citronniers, goyave ( goyavier ) =http://ontology.inrae.fr/frenchcropusage/Goyaviers, banane ( bananier ) =http://ontology.inrae.fr/frenchcropusage/Bananiers, tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, cerise ( cerisier ) =http://ontology.inrae.fr/frenchcropusage/Cerisiers, fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, ananas ( ananas ) =http://ontology.inrae.fr/frenchcropusage/Ananas, pêche ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, poire ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers, abricot ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers, figue ( bananier musa ) =http://ontology.inrae.fr/frenchcropusage/Bananiers_musa, figue ( figuier ) =http://ontology.inrae.fr/frenchcropusage/Figuiers"	". Les légumes concer"	"21916-22054"	"type=N_PUN_N_KON_N, match=fcu, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	"les tomates, poivrons, melons et courges"	"tomates ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, poivrons ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons, melons ( melon ) =http://ontology.inrae.fr/frenchcropusage/Melons, courges ( courge ) =http://ontology.inrae.fr/frenchcropusage/Courges"	". Comme les autres m"	"22093-22133"	"type=N_PUN_N_KON_N, match=fcu, form=les tomates, poivrons, melons et courges"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ffecter de nombreux"	"végétaux, oliviers, Prunus"	"végétaux, , Prunus"	"oliviers ( olivier ) =http://ontology.inrae.fr/frenchcropusage/Oliviers"	"(pêchers, amandiers"	"22582-22608"	"type=N_PUN_N, match=fcu, form=végétaux, oliviers, Prunus"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	", oliviers, Prunus ("	"pêchers, amandiers"	"pêchers, amandiers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, amandiers ( amandier ) =http://ontology.inrae.fr/frenchcropusage/Amandiers"	"), laurier rose, vig"	"22610-22628"	"type=N_PUN_N, match=fcu, form=pêchers, amandiers"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ers), laurier rose,"	"vigne, agrumes, caféiers, chênes, Les dépérissements"	"vigne, agrumes, caféiers, chênes, Les dépérissements"	"vigne ( vigne ) =http://ontology.inrae.fr/frenchcropusage/Vignes, agrumes ( agrume ) =http://ontology.inrae.fr/frenchcropusage/Agrumes, chênes ( chêne ) =http://ontology.inrae.fr/frenchcropusage/Chenes"	"provoqués par la ma"	"22645-22697"	"type=N_PUN_N, match=fcu, form=vigne, agrumes, caféiers, chênes, Les dépérissements"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"tion : 10 à 20% des"	"fruits et feuilles"	" et feuilles"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"touchés en plaine.É"	"2206-2224"	"type=N_KON_N, match=fcu, form=fruits et feuilles"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"es débris végétaux ("	"feuilles et fruits"	"feuilles et "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"contaminés). TOMATE"	"3079-3097"	"type=N_KON_N, match=fcu, form=feuilles et fruits"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"es débris végétaux ("	"feuilles et fruits"	"feuilles et "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"contaminés). Acarie"	"4644-4662"	"type=N_KON_N, match=fcu, form=feuilles et fruits"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"à 30% d'attaque sur"	"tiges, fruits et feuilles"	"tiges,  et feuilles"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"dans les secteurs d"	"5391-5416"	"type=N_PUN_N_KON_N, match=fcu, form=tiges, fruits et feuilles"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"plants touchés sur"	"fruits et feuilles"	" et feuilles"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	". Le genre Dysdercus"	"5858-5876"	"type=N_KON_N, match=fcu, form=fruits et feuilles"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"erte (Nezara) pique"	"les fruits et fleurs"	"les fruits et fleurs"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	", des ponctuations a"	"6059-6079"	"type=N_KON_N, match=fcu, form=les fruits et fleurs"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"faiblissement, puis"	"la chutes des feuilles, avortement des fleurs"	"la chutes des feuilles, avortement des "	"fleurs ( floriculture ) =http://ontology.inrae.fr/frenchcropusage/Cultures_florales"	"et autres dépérisse"	"9273-9318"	"type=N_PUN_N, match=fcu, form=la chutes des feuilles, avortement des fleurs"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"l'avocat, la  et la papaye"	"mangue ( manguier ) =http://ontology.inrae.fr/frenchcropusage/Manguiers"	"mais l'espèce s'en"	"17924-17956"	"type=N_PUN_N_KON_N, match=fcu, form=l'avocat, la mangue et la papaye"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"s'en prend aussi au"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron ( citronnier ) =http://ontology.inrae.fr/frenchcropusage/Citronniers, goyave ( goyavier ) =http://ontology.inrae.fr/frenchcropusage/Goyaviers, banane ( bananier ) =http://ontology.inrae.fr/frenchcropusage/Bananiers, tomate ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, cerise ( cerisier ) =http://ontology.inrae.fr/frenchcropusage/Cerisiers, fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres, ananas ( ananas ) =http://ontology.inrae.fr/frenchcropusage/Ananas, pêche ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, poire ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers, abricot ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers, figue ( bananier musa ) =http://ontology.inrae.fr/frenchcropusage/Bananiers_musa, figue ( figuier ) =http://ontology.inrae.fr/frenchcropusage/Figuiers"	". Les légumes concer"	"17991-18129"	"type=N_PUN_N_KON_N, match=fcu, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	"les tomates, poivrons, melons et courges"	"tomates ( tomate ) =http://ontology.inrae.fr/frenchcropusage/Tomates, poivrons ( poivron ) =http://ontology.inrae.fr/frenchcropusage/Poivrons, melons ( melon ) =http://ontology.inrae.fr/frenchcropusage/Melons, courges ( courge ) =http://ontology.inrae.fr/frenchcropusage/Courges"	". Comme les autres m"	"18168-18208"	"type=N_PUN_N_KON_N, match=fcu, form=les tomates, poivrons, melons et courges"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"ffecter de nombreux"	"végétaux, oliviers, Prunus"	"végétaux, , Prunus"	"oliviers ( olivier ) =http://ontology.inrae.fr/frenchcropusage/Oliviers"	"(pêchers, amandiers"	"18755-18781"	"type=N_PUN_N, match=fcu, form=végétaux, oliviers, Prunus"
