"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"20190516_BSV_grandes_cultures_Rhone-Alpes_N_13_cle4cc4d2"	"lture précédente au"	"sol, maïs"	"sol, "	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"ou sorgho, souvent"	"13599-13608"	"type=N_PUN_N, match=fcu, form=sol, maïs"
"20190522_BSV_grandes_cultures_Auvergne_N14_cle02c8cf"	"mes de gel. Avant 5"	"feuilles, les dégâts de gel"	"feuilles, les dégâts de "	"gel ( gel ) =http://ontology.inrae.fr/frenchcropusage/Gels"	"touchent les premiè"	"9628-9655"	"type=N_PUN_N, match=fcu, form=feuilles, les dégâts de gel"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"de la culture Cette"	"semaine, les stades des blés"	"semaine, les stades des "	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"s'étalent de 3 nœud"	"2869-2897"	"type=N_PUN_N, match=fcu, form=semaine, les stades des blés"
"20190522_LOR_BSV_Grandes_Cultures_cle8b3b61"	"a dans la rotation ("	"colza, tournesol, soja, pois"	"colza, tournesol, soja, pois"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, soja ( soja ) =http://ontology.inrae.fr/frenchcropusage/Sojas, pois ( pois ) =http://ontology.inrae.fr/frenchcropusage/Pois"	")- Les attaques rec"	"9837-9865"	"type=N_PUN_N, match=fcu, form=colza, tournesol, soja, pois"
"20190710_LOR_BSV_Grandes_Cultures_cle8d764a"	"de la culture Cette"	"semaine, les maïs"	"semaine, les "	"maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	"sont compris entre"	"517-534"	"type=N_PUN_N, match=fcu, form=semaine, les maïs"
"20190730_bsv_grandes_cultures_cle879378"	"de surveillance du"	"mildiou du tournesol, la maladie"	"mildiou du , la maladie"	"tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	"a été observée en V"	"9859-9891"	"type=N_PUN_N, match=fcu, form=mildiou du tournesol, la maladie"
"20190730_bsv_grandes_cultures_cle879378"	"tales/2016 brochure"	"colza et altises"	" et altises"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"hiver.pdf Des analy"	"15863-15879"	"type=N_KON_N, match=fcu, form=colza et altises"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"e faible vitesse de"	"développement des colzas, le seuil de nuisibilité"	"développement des , le seuil de nuisibilité"	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"est abaissé à 3 pla"	"2281-2330"	"type=N_PUN_N, match=fcu, form=développement des colzas, le seuil de nuisibilité"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"e faible vitesse de"	"développement des colzas, le seuil de nuisibilité"	"développement des , le seuil de nuisibilité"	"colzas ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"est abaissé à 3 pla"	"2442-2491"	"type=N_PUN_N, match=fcu, form=développement des colzas, le seuil de nuisibilité"
"20191114_BSV_grandes_cultures_Rhone-Alpes_N32_cle05361b"	"'entrée de l'hiver."	"La couleur du colza, la qualité de l'enracinement et la disponibilité"	"La couleur du , la qualité de l'enracinement et la disponibilité"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas"	"en azote permettent"	"6970-7039"	"type=N_PUN_N_KON_N, match=fcu, form=La couleur du colza, la qualité de l'enracinement et la disponibilité"
