"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"au stade 6 feuilles"	"7868-7873"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"les insectes Dès la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du colza, installez"	"8072-8077"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"e préférentielle de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"Profondeur de germi"	"10853-10858"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181002_bsv_grandes_cultures_29_cle0423a6"	"2330"	"html"	"levée Profondeur de"	"germination"	"germination"	"stade principal BBCH 0"	"Graminées Agrostis"	"10873-10884"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"les est en cours de"	"germination"	"germination"	"stade principal BBCH 0"	"ou de levée (semis"	"1948-1959"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"e germination ou de"	"levée"	"levée"	"stade secondaire BBCH 009 "	"(semis du 19 octobr"	"1966-1971"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"% 5% 4% 0% 0% semis"	"Germination"	"germination"	"stade principal BBCH 0"	"levée 1ère feuille"	"2343-2354"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=Germination"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"traitement avant la"	"levée"	"levée"	"stade secondaire BBCH 009 "	", lors du semis une"	"3277-3282"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"s limaces. Après la"	"levée"	"levée"	"stade secondaire BBCH 009 "	", le piégeage permet"	"3618-3623"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"bservés (perte à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	", dégâts sur feuille"	"3699-3704"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"r le semis pour une"	"levée"	"levée"	"stade secondaire BBCH 009 "	"rapide et un bon dé"	"4671-4676"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"ode de risque De la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"jusqu'à fin novembr"	"15840-15845"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"les insectes Dès la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"du colza, installez"	"16214-16219"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"ions entraînent des"	"levées"	"levée"	"stade secondaire BBCH 009 "	"hétérogènes (Sud Ce"	"18491-18497"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"département 36, les"	"levées"	"levée"	"stade secondaire BBCH 009 "	"sont très hétérogèn"	"19013-19019"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"20181106_bsv_grandes_cultures_34_cle08159b"	"4229"	"html"	"ettent de nouvelles"	"levées"	"levée"	"stade secondaire BBCH 009 "	". Analyse du risque"	"19186-19192"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levées"
"20190227_BSV_grandes_cultures_Auvergne_N02_cle0189db"	"977"	"html"	"parcelles au stade"	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	". De nouvelles captu"	"310-325"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"2268"	"html"	"boutons séparés (E)"	"BBCH 57"	"BBCH @card@"	"stade secondaire BBCH 57"	"2-3 méligèthes/plan"	"3010-3017"	"type=PATTERN_BBCH, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH57, skos-prefLabel=stade secondaire BBCH 57, form=BBCH 57"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"2268"	"html"	"des favorables à la"	"germination"	"germination"	"stade principal BBCH 0"	"des sclérotes et au"	"4554-4565"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20190417_ALS_BSV_Grandes_Cultures_cle8c93cf"	"2268"	"html"	"intemps A partir de"	"début montaison"	"début montaison"	"stade secondaire BBCH 30"	", le froid peut avoi"	"6765-6780"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH30, skos-prefLabel=stade secondaire BBCH 30, form=début montaison"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"3434"	"html"	"des favorables à la"	"germination"	"germination"	"stade principal BBCH 0"	"des sclérotes ;- le"	"11928-11939"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_principalStage_BBCH0, skos-prefLabel=stade principal BBCH 0, form=germination"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"3434"	"html"	"t se réaliser de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"jusqu'au stade 3 fe"	"13321-13326"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20190417_CHA_BSV_Grandes_Cultures_cle8333d7"	"3434"	"html"	"ce d'encoches de la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"jusqu'au stade 6 fe"	"14346-14351"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"5244"	"html"	"ler les dégâts à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	"pendant les premièr"	"1235-1240"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
"20190507_LOR_BSV_Grandes_Cultures_cle893371"	"5244"	"html"	"euilles.Dégâts à la"	"levée"	"levée"	"stade secondaire BBCH 009 "	": Conditions favora"	"1788-1793"	"type=RDFProjector, uri=http://ontology.inrae.fr/ppdo/ontology/bbch_globalScale_secondaryStage_BBCH009, skos-prefLabel=stade secondaire BBCH 009 , form=levée"
