"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"4"	"P"	"Symptôme """	"poireau"	"poireau"	"poireau"	""""	"11-18"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Poireaux, skos-prefLabel=poireau, lemma=poireau, form=poireau"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"1"	"H1"	""	"COLZA"	"colza"	"colza"	""	"0-5"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=COLZA"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"6"	"H3"	"ançon de la tige du"	"colza"	"colza"	"colza"	""	"24-29"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"3"	"FIGURE"	"Etat du"	"colza"	"colza"	"colza"	""	"8-13"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05_GC_Als_cle8c3f61.html"	"11"	"FIGURE"	""	"Colza"	"colza"	"colza"	"handicapé, peu vigo"	"0-5"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, lemma=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"45"	"FIGURE"	""	"JARDINS"	"jardin"	"jardin"	"ORNEMENTAUX BuisPsy"	"0-7"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Jardins, skos-prefLabel=jardin, lemma=jardin, form=JARDINS"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"45"	"FIGURE"	"âts en augmentation"	"Rosier"	"rosier"	"rosier"	"Aphrophore - cicade"	"137-143"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Rosiers, skos-prefLabel=rosier, lemma=rosier, form=Rosier"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"41"	"FIGURE"	""	"POTAGERS"	"potager"	"jardins familiaux"	"ChouAltise : impact"	"0-8"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, skos-prefLabel=jardins familiaux, lemma=potager, form=POTAGERS"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"12"	"FIGURE"	""	"VERGERS"	"verger"	"arboriculture fruitière"	"PommierCarpocapse :"	"0-7"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere, skos-prefLabel=arboriculture fruitière, lemma=verger, form=VERGERS"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/05bsv_jevi_20190502_cle8f22b6.html"	"2"	"H1"	""	"JARDINS"	"jardin"	"jardin"	"ORNEMENTAUX"	"0-7"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Jardins, skos-prefLabel=jardin, lemma=jardin, form=JARDINS"
