"bsv"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_33_sem44_cle8f1de5.html"	"42"	"P"	"es dernières séries."	"Carotte, céleri, persil"	"carotte , céleri , persil"	""	": le troisième vol"	"140-163"	"type=N_PUN_N, match=fcu, form=Carotte, céleri, persil"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_33_sem44_cle8f1de5.html"	"51"	"P"	"nts sensibles comme"	"la laitue, le céleri"	"le laitue , le céleri"	""	"-rave, la phacélie."	"243-263"	"type=N_PUN_N, match=fcu, form=la laitue, le céleri"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/2017_BSV_manche_33_sem44_cle8f1de5.html"	"51"	"P"	"a laitue, le céleri-"	"rave, la phacélie"	"rave , le phacélie"	""	"."	"264-281"	"type=N_PUN_N, match=fcu, form=rave, la phacélie"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/20190403_LOR_BSV_Grandes_Cultures_cle8ff1e5.html"	"36"	"P"	"celle en prenant en"	"compte, le stade, la vigueur du colza"	"compte , le stade , le vigueur du colza"	""	"ainsi que le niveau"	"111-148"	"type=N_PUN_N, match=fcu, form=compte, le stade, la vigueur du colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116.html"	"60"	"P"	"Sur"	"blé, la généralisation de la résistance"	"blé , le généralisation de le résistance"	""	"aux strobilurines c"	"4-43"	"type=N_PUN_N, match=fcu, form=blé, la généralisation de la résistance"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116.html"	"26"	"P"	"Sur"	"blé, l'oïdium"	"blé , l'oïdium"	""	"est majoritairement"	"4-17"	"type=N_PUN_N, match=fcu, form=blé, l'oïdium"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/55_02_note_commune_resistance_fongicides_maladies_cereales_2006_cle86a116.html"	"23"	"P"	"de strobilurine sur"	"orge et escourgeon"	"orge et escourgeon"	""	"sauf en situation d"	"61-79"	"type=N_KON_N, match=fcu, form=orge et escourgeon"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV05_GC_LOR_S13_2020_cle4419d7.html"	"112"	"P"	"et à l'avancée des"	"stades du colza, l'observation de l'accumulation"	"stade du colza , l'observation de l'accumulation"	""	"des dégâts sur bout"	"225-273"	"type=N_PUN_N, match=fcu, form=stades du colza, l'observation de l'accumulation"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"8"	"H1"	"Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre"	"9-24"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"P"	"s filières majeures"	"banane et canne"	"banane et canne"	""	"-à-sucre."	"39-54"	"type=N_KON_N, match=fcu, form=banane et canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"FOOTER"	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"25-40"	"type=N_KON_N, match=fcu, form=Banane et Canne"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV971_BanCas_N04_cle08e5ae.html"	"14"	"FOOTER"	"uadeloupe, Filières"	"Banane et Canne"	"banane et canne"	""	"-à-Sucre, Numéro 04"	"25-40"	"type=N_KON_N, match=fcu, form=Banane et Canne"
