;bsv;context before;conjunction;match;proposition;context after;location;features
37;BSV971_BanCas_N04_cle08e5ae;uadeloupe, Filières;Banane et Canne;Banane;;-à-Sucre, Numéro 04;14659-14674;type=N_KON_N, form=Banane et Canne
38;BSV971_BanCas_N04_cle08e5ae;uadeloupe, Filières;Banane et Canne;Banane;;-à-Sucre, Numéro 04;17704-17719;type=N_KON_N, form=Banane et Canne
39;BSV971_CulturesVivrieres-Bilan2018_cle81e161;mois et 4 mois. Les;ignames et patates;patates;;douces sont plantée;3817-3835;type=N_KON_N, form=ignames et patates
40;BSV_5_VF_cle84611d;en mirabelle, F en;poire et E2;poire;;en pomme. Photos M.;2052-2063;type=N_KON_N, form=poire et E2
41;BSV_5_VF_cle84611d;erger. BSV n°5 P.6;Prunes et Cerises;Prunes, Cerises;;1. Monilia fleur Le;11262-11279;type=N_KON_N, form=Prunes et Cerises
42;BSV_AF_5_15_mars_2019_cle452e6e;cardie des filières;pommes et poires;pommes, poires;;: François Hanquart;11127-11143;type=N_KON_N, form=pommes et poires
43;BSV_AF_n19_du_11052017-1_cle84e61b;cardie des filières;pommes et poires;pommes, poires;;: François Hanquart;15763-15779;type=N_KON_N, form=pommes et poires
44;BSV_AF_n30_du_25052018_cle0ca846;cardie des filières;pommes et poires;pommes, poires;;: François Hanquart;3008-3024;type=N_KON_N, form=pommes et poires
45;BSV_AF_n34_du_16072019_cle0a1d81;cardie des filières;pommes et poires;pommes, poires;;: François Hanquart;32858-32874;type=N_KON_N, form=pommes et poires
46;BSV_ARBO_2017_35_cle4d79ba;me de terre légumes;industriels, arboriculture, maraîchage, pépinière;arboriculture, maraîchage, pépinière;;horticulture, JEVI;10002-10051;type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière
47;BSV_ARBO_2018_11_cle44752f;me de terre légumes;industriels, arboriculture, maraîchage, pépinière;arboriculture, maraîchage, pépinière;;horticulture, zones;2919-2968;type=N_PUN_N, form=industriels, arboriculture, maraîchage, pépinière
48;BSV_ARBO_2018_11_cle44752f;raîchage, pépinière;horticulture, zones;horticulture;;non agricoles. Le B;2969-2988;type=N_PUN_N, form=horticulture, zones
49;BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf;u développement des;champignons, ceux-ci;champignons;;entrent dans le vég;2016-2036;type=N_PUN_N, form=champignons, ceux-ci
50;BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no15_du_17-06-2020_cle0d4baf;judiciable pour les;pommes et les;pommes;;poires de table. Ca;7536-7549;type=N_KON_N, form=pommes et les
51;BSV_Arboriculture-Fruits_transformes__Bretagne-Normandie-Pays_de_la_Loire_no_17_du_26-06-2018_cle861251;u développement des;champignons, ceux-ci;champignons;;entrent dans le vég;1621-1641;type=N_PUN_N, form=champignons, ceux-ci
52;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;but juillet sur des;abricots et pêches;abricots, pêches;;restant sur les arb;15294-15312;type=N_KON_N, form=abricots et pêches
53;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;problématiques sur;pêches, abricots;pêches, abricots;;et prunes cette ann;15717-15733;type=N_PUN_N, form=pêches, abricots
54;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;Vallée du Rhône sur;abricots et pêches;abricots, pêches;;(chenilles visibles;17021-17039;type=N_KON_N, form=abricots et pêches
55;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;ois de juin sur des;pêchers et abricotiers;pêchers, abricotiers;;conduits en Agricul;17339-17361;type=N_KON_N, form=pêchers et abricotiers
56;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;en environnement de;pépinière et vergers;pépinière, vergers;;donneurs de greffon;19266-19286;type=N_KON_N, form=pépinière et vergers
57;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;(principalement sur;prunier et abricotier;prunier, abricotier;;) peut dans certaine;24688-24709;type=N_KON_N, form=prunier et abricotier
58;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;ectre de végétaux :;vignes, oliviers, arbres;vignes, oliviers;;fruitiers (Prunus),;46463-46487;type=N_PUN_N, form=vignes, oliviers, arbres
59;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;fruitiers (Prunus),;agrumes, caféiers, chênes, luzerne;agrumes, caféiers, chênes, luzerne;;, etc.A ce jour, six;46508-46542;type=N_PUN_N, form=agrumes, caféiers, chênes, luzerne
60;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;es suspectes sur un;olivier, un;olivier;;laurier, un chêne l;47384-47395;type=N_PUN_N, form=olivier, un
61;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;sur un olivier, un;laurier, un;laurier;;chêne le 24 avril à;47396-47407;type=N_PUN_N, form=laurier, un
62;BSV_Bilan_Fruits_a_noyau_2018_cle888e1e;e-Alpes sur pêcher,;abricotier, prunier et cerisier;abricotier, prunier, cerisier;;. Elles se sont déro;47732-47763;type=N_PUN_N_KON_N, form=abricotier, prunier et cerisier
63;BSV_Cassis_n_05_du_10_mai_2012_cle09e263;t en place dans les;vergers et les;vergers;;cultures légumières;1743-1757;type=N_KON_N, form=vergers et les
64;BSV_Cereales_paille_14_cle09e79d;(retour fréquent de;blé, variété;blé;;sensible, milieu fa;3912-3924;type=N_PUN_N, form=blé, variété
65;BSV_Cereales_paille_14_cle09e79d;(retour fréquent de;blé, variété;blé;;sensible, milieu fa;17050-17062;type=N_PUN_N, form=blé, variété
66;BSV_Colza_no08-05avril18_cle866147;nçons de la tige du;colza, la;colza;;moyenne est de 2,7(;1871-1880;type=N_PUN_N, form=colza, la
