"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"2 Tardif 4 Tardif 1"	"Blé"	"blé"	"blé"	"/orge/prairies 1 Maï"	"4155-4158"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Bles, skos-prefLabel=blé, form=Blé"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"rdif 4 Tardif 1 Blé/"	"orge"	"orge"	"orge"	"/prairies 1 Maïs 2 S"	"4159-4163"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Orges, skos-prefLabel=orge, form=orge"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"4 Tardif 1 Blé/orge/"	"prairies"	"prairie"	"prairie"	"1 Maïs 2 Sensibilit"	"4164-4172"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Prairies, skos-prefLabel=prairie, form=prairies"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"Blé/orge/prairies 1"	"Maïs"	"maïs"	"maïs"	"2 Sensibilité de la"	"4175-4179"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Mais, skos-prefLabel=maïs, form=Maïs"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"lture mise en place"	"Tournesol"	"tournesol"	"tournesol"	"4 Colza 6 Beaucoup"	"4222-4231"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Tournesols, skos-prefLabel=tournesol, form=Tournesol"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"n place Tournesol 4"	"Colza"	"colza"	"colza"	"6 Beaucoup de limac"	"4234-4239"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=Colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"Préparation lit de"	"semence"	"semence"	"semence"	"Intermédiaire 2 Fin"	"4614-4621"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Semences, skos-prefLabel=semence, form=semence"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"iennes parcelles de"	"colza"	"colza"	"colza"	". Petites altises et"	"5549-5554"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"FIGURE. FIGCAPTION."	"tises et dégâts sur"	"colza"	"colza"	"colza"	"(photo prise cette"	"5586-5591"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/train/CorpusTestD2kabGC.html/20180911_bsv_grandes_cultures-26_cle0f15a8.html"	"html"	"2433"	"P."	"re les repousses de"	"colza"	"colza"	"colza"	"pendant la période"	"5680-5685"	"type=GOL, uri=http://ontology.inrae.fr/frenchcropusage/Colzas, skos-prefLabel=colza, form=colza"
