"bsv"	"type"	"length"	"header"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"html"	"8946"	""	"vraies (stade B3 ou"	"BBCH 13"	"BBCH @card@"	""	") ;- 1 parcelle à 4"	"1101-1108"	"type=BBCH-DD, canonical-form=BBCH 13, form=BBCH 13"
"20190919_BSV_grandes_cultures_Rhone-Alpes_N24_cle03fa8f"	"html"	"8946"	""	"vraies (stade B4 ou"	"BBCH 14"	"BBCH @card@"	""	"). Ravageurs Altises"	"1157-1164"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"html"	"9056"	""	"tylédon (stade A ou"	"BBCH 10"	"BBCH @card@"	""	") ; 2 parcelles à 3"	"1057-1064"	"type=BBCH-DD, canonical-form=BBCH 10, form=BBCH 10"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"html"	"9056"	""	"vraies (stade B3 ou"	"BBCH 13"	"BBCH @card@"	""	") ; 3 parcelles à 6"	"1113-1120"	"type=BBCH-DD, canonical-form=BBCH 13, form=BBCH 13"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"html"	"9056"	""	"vraies (stade B6 ou"	"BBCH 16"	"BBCH @card@"	""	") ; 1 parcelle à 7 f"	"1169-1176"	"type=BBCH-DD, canonical-form=BBCH 16, form=BBCH 16"
"20191002_BSV_grandes_cultures_Auvergne_N27_cle0fb714"	"html"	"9056"	""	"vraies (stade B7 ou"	"BBCH 17"	"BBCH @card@"	""	"). Ravageurs Altises"	"1224-1231"	"type=BBCH-DD, canonical-form=BBCH 17, form=BBCH 17"
"20191114_BSV_grandes_cultures_Rhone-Alpes_N32_cle05361b"	"html"	"16962"	""	"6 feuilles vraies ("	"BBCH 16"	"BBCH @card@"	""	") et 10 feuilles vra"	"419-426"	"type=BBCH-DD, canonical-form=BBCH 16, form=BBCH 16"
"20191114_BSV_grandes_cultures_Rhone-Alpes_N32_cle05361b"	"html"	"16962"	""	"16) et 10 feuilles"	"vraies(BBCH 19"	"vraies(BBCH @card@"	""	") avec une majorité"	"443-457"	"type=BBCH-DD, canonical-form=BBCH 19, form=vraies(BBCH 19"
"BSV_28-19_cereales_Normandie_R2015_cle8e8112"	"html"	"6478"	""	"is la codification ("	"BBCH 13, 18 ou 32"	"BBCH @card@ , @card@ ou @card@"	""	") ne nous est pas f"	"3069-3086"	"type=BBCH_DD_KON_DD, canonical-form=BBCH 32, form=BBCH 13, 18 ou 32"
"BSV_28-19_cereales_Normandie_R2015_cle8e8112"	"html"	"6478"	""	"is la codification ("	"BBCH 13, 18 ou 32"	"BBCH @card@ , @card@ ou @card@"	""	") ne nous est pas f"	"3069-3086"	"type=BBCH_DD_KON_DD, canonical-form=BBCH 18, form=BBCH 13, 18 ou 32"
