"bsv"	"type"	"number of words"	"html tag"	"context before"	"form"	"lemma"	"prefLabel"	"context after"	"location"	"features"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c.html"	"html"	"1074"	"TABLE. TBODY. TR. TD."	"Stade B2 ("	"BBCH 14"	"BBCH @card@"	""	") : 4 feuilles sont"	"5176-5183"	"type=BBCH-DD, canonical-form=BBCH 14, form=BBCH 14"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c.html"	"html"	"1074"	"H3."	"s Inovia) Stade B5 ("	"BBCH 15"	"BBCH @card@"	""	") : 5 cm Stade B9 (B"	"5294-5301"	"type=BBCH-DD, canonical-form=BBCH 15, form=BBCH 15"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_Grandes_Cultures_Lin__Oleagineux_n2_NR_17102017_cle4cd66c.html"	"html"	"1074"	"H3."	"5) : 5 cm Stade B9 ("	"BBCH 17"	"BBCH @card@"	""	") : 7 cm (Source : T"	"5320-5327"	"type=BBCH-DD, canonical-form=BBCH 17, form=BBCH 17"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"s d'hiver : 1 nœud ("	"BBCH31"	"BBCH31"	""	") à dernière feuille"	"4213-4219"	"type=BBCH, canonical-form=BBCH 31, form=BBCH31"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"feuille pointante ("	"BBCH37"	"BBCH37"	""	") Les variétés préco"	"4251-4257"	"type=BBCH, canonical-form=BBCH 37, form=BBCH37"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"stades 1 à 2 nœuds ("	"BBCH31-32"	"BBCH @card@"	""	"). Blé tendre d'hive"	"4478-4487"	"type=BBCH-DD, canonical-form=BBCH 31-32, form=BBCH31-32"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"iver : 1 - 2 nœuds ("	"BBCH31-32"	"BBCH @card@"	""	") à dernière feuille"	"4524-4533"	"type=BBCH-DD, canonical-form=BBCH 31-32, form=BBCH31-32"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"feuille pointante ("	"BBCH37"	"BBCH37"	""	"). Semis réalisés au"	"4565-4571"	"type=BBCH, canonical-form=BBCH 37, form=BBCH37"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	"feuille pointante ("	"BBCH37"	"BBCH37"	""	"). Semis réalisés au"	"4676-4682"	"type=BBCH, canonical-form=BBCH 37, form=BBCH37"
"/Users/belka/Documents/GitHub/termExtraction/resources/Corpus-v-12-04-21/test/CorpusAlea.html/BSV_NA_GC_AQUITAINE_N09_20190404_cle0279a3.html"	"html"	"5871"	"P."	": de redressement ("	"BBCH29"	"BBCH29"	""	") à grains laiteux(B"	"5099-5105"	"type=BBCH, canonical-form=BBCH 29, form=BBCH29"
